48,เท่าไหร่ไม่จำ,Potato,40235,https://open.spotify.com/track/5zRMhQ21pWGN0rPxAS4QkI
49,"Taste (feat. Offset)",Tyga,39772,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
50,"Don’t Matter To Me (with Michael Jackson)",Drake,39647,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
51,"As If It's Your Last",BLACKPINK,38859,https://open.spotify.com/track/1Zyd6zQnC6XIIzmg3hP7Ot
52,"SEE U LATER - KR Ver.",BLACKPINK,38801,https://open.spotify.com/track/514mQDPkXmPzsYwGNmkBJZ
53,เกลียด,"The Yers",36497,https://open.spotify.com/track/6iXBlrBFuV6W3jExGuWy6f
54,ร้อยล้านวิว,Stamp,36481,https://open.spotify.com/track/2KKwNFzypGehPrAZCKc1HW
55,"Happy Now",Zedd,36468,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
56,"Born To Be Yours",Kygo,35841,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
57,อย่าทำอย่างนั้น,PORTRAIT,35482,https://open.spotify.com/track/1tMotuXLRwAZYpRfz4oAMx
58,"กลัวแฟน (feat. เจนนิเฟอร์ คิ้ม)","D Gerrard",35267,https://open.spotify.com/track/4Vde58gbp3MXOCT4Kly18e
59,มีแฟน'ยัง,"LOTTE Thakorn",34999,https://open.spotify.com/track/63ZR6CaIe8mYwgg8vEWxTQ
60,"FAKE LOVE",BTS,34327,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
61,"Me & You ◑",HONNE,34126,https://open.spotify.com/track/2mDeWOqdFJLV2zsrTCPG0T
62,ฝืนตัวเองไม่เป็น,"Non Tanon",33848,https://open.spotify.com/track/0FlZM6SFefxfXzX68IpVxb
63,ไม่เหมือนใคร,"D Gerrard",33266,https://open.spotify.com/track/39Mg8slCqS2tyaZUZ1cQ1M
64,"Strawberries & Cigarettes","Troye Sivan",32995,https://open.spotify.com/track/2z7UKVsBdbA7HFPunDKDP4
65,"I'm a Mess","Bebe Rexha",32504,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
