1,Perfect,"Ed Sheeran",68473,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
2,Wolves,"Selena Gomez",64455,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
3,"MIC Drop (feat. Desiigner) [Steve Aoki Remix]",BTS,63950,https://open.spotify.com/track/7Ed6BkggCS2KaKY5YlINaF
4,Havana,"Camila Cabello",62858,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
5,อย่าบอก,"Atom Chanakan",62037,https://open.spotify.com/track/3CrDt4x72gWHaglwnM0CAH
6,"Too Good At Goodbyes","Sam Smith",59980,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
7,"Koisuru Fortune Cookie คุกกี้เสี่ยงทาย",BNK48,57241,https://open.spotify.com/track/5OzKApzqDkOVg4P5jQlD8J
8,"What Lovers Do (feat. SZA)","Maroon 5",55039,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
9,"How Long","Charlie Puth",54559,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
10,"New Rules","Dua Lipa",47735,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
11,รักตัวเอง,"Room 39",43803,https://open.spotify.com/track/46Uqy57KyAT7xBz6BIqdB3
12,"Shape of You","Ed Sheeran",41820,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
13,"Paris in the Rain",Lauv,41625,https://open.spotify.com/track/0RGUIOZtmOXTWOy5EjvQbP
14,"Dusk Till Dawn - Radio Edit",ZAYN,41067,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
15,"จังหวะจะรัก - From “Heartbeat” Original Soundtrack","Violette Wautier",40803,https://open.spotify.com/track/1ux0god9zERqovPLrzRdBT
16,"Young Dumb & Broke",Khalid,39061,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
17,Silence,Marshmello,38642,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
