,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"FAKE LOVE",BTS,137457,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
2,ภาพจำ,"Pop Pongkool",92629,https://open.spotify.com/track/4YRpjJaJpiI36HM36Dn5lS
3,"The Truth Untold",BTS,84368,https://open.spotify.com/track/48XfojJC87VKLlUotYV0Gm
4,นอนได้แล้ว,"Fukking Hero",82483,https://open.spotify.com/track/5JhLoyD2idGlKXwD9nmYuB
5,"Good Morning Teacher","Atom Chanakan",76552,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
6,"Magic Shop",BTS,69143,https://open.spotify.com/track/22ryCgQttpV7oCrn7llGRu
7,หมอกร้าย,Lipta,67982,https://open.spotify.com/track/0EYgFMIXhjcFgX6xe2NY9v
8,แอบบอกรัก,Jaonaay,67566,https://open.spotify.com/track/1xJP5BQBwQRl59B6EGcujF
9,ถ้าฉันหายไป(Skyline),"Earth Patravee",66666,https://open.spotify.com/track/0goff2JabkZTEq1yKeyoM8
10,"Airplane pt.2",BTS,65478,https://open.spotify.com/track/1trFxVLL8WKhYap543e74l
11,"Day 1 ◑",HONNE,64653,https://open.spotify.com/track/7AWZvcyaSBxRzaBJcHf9XL
12,คนที่ไม่ใช่,O-Pavee,63236,https://open.spotify.com/track/76rs0Apd4Ct5LwJm8pB6r1
13,"Back To You","Selena Gomez",63120,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
14,"Love Maze",BTS,62895,https://open.spotify.com/track/645YBsxhFPSOKxGep3uHLv
15,134340,BTS,62528,https://open.spotify.com/track/38td8VabuKlQt72Q2VnhbO
16,"no tears left to cry","Ariana Grande",61981,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
17,Anpanman,BTS,61599,https://open.spotify.com/track/4lRwa7PKcGIuJMwtPIYKdy
18,Paradise,BTS,59885,https://open.spotify.com/track/01dmH2IPkrLNWIMPNXlreE
19,"Better Now","Post Malone",59078,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
20,"So What",BTS,56715,https://open.spotify.com/track/4CvId64YZSB0RfRdfzPIQU
21,"Let Me",ZAYN,54601,https://open.spotify.com/track/7Fg342AJtNsIDdwCfX0paC
22,"คิดถึงจัง (มาหาหน่อย)","Oat Pramote",54330,https://open.spotify.com/track/63quSq4p0NagZdZI3ttb4f
23,"This Is America","Childish Gambino",54244,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
24,04:00,"The Toys",52295,https://open.spotify.com/track/3h7TbK7x7yxJavEZydbOzX
25,"อยู่ดีๆก็… (feat. Youngohm)",Wonderframe,51891,https://open.spotify.com/track/0b9JDLbAgCazIwPSWj6DNL
26,"The Middle",Zedd,51153,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
27,"Strawberries & Cigarettes","Troye Sivan",50396,https://open.spotify.com/track/2z7UKVsBdbA7HFPunDKDP4
28,ร้อยล้านวิว,Stamp,50392,https://open.spotify.com/track/2KKwNFzypGehPrAZCKc1HW
29,"Intro: Singularity",BTS,50091,https://open.spotify.com/track/6ePyl2ns4b7MVYhjsj32ZK
30,ผิดที่ฉัน,60Miles,49233,https://open.spotify.com/track/65SM4x81LohlqhSVFqITWd
31,"Outro: Tear",BTS,49084,https://open.spotify.com/track/5p10VwQ8LRoyTc8LFrvPw6
32,2002,Anne-Marie,48818,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
33,FRIENDS,Marshmello,47798,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
34,รู้ดีว่าไม่ดี,Getsunova,47144,https://open.spotify.com/track/37LAaRNSnB6b1T2ckX6VSk
35,Patient,"Charlie Puth",46891,https://open.spotify.com/track/2ZrHbO88rM6Ijeg0aJmSzl
36,พอจะรู้,meyou.,45842,https://open.spotify.com/track/4p4SOBQ0fxHYluEcba6Xrq
37,"Galaxy (feat. Kob The X Factor)","D Gerrard",44938,https://open.spotify.com/track/0yO5RrszdEpqXhDwyhP6nX
38,"One Kiss (with Dua Lipa)","Calvin Harris",44275,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
39,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)","Rita Ora",43898,https://open.spotify.com/track/1YNQscOx6OqBQjxgJVhEeW
40,"Youth (feat. Khalid)","Shawn Mendes",42473,https://open.spotify.com/track/3Wf2YGdYT8xVdNsQSoRKk9
41,Somebody,"The Chainsmokers",42431,https://open.spotify.com/track/3pWcj8hxj3fsb9TDAcMpEl
42,"Done For Me (feat. Kehlani)","Charlie Puth",41993,https://open.spotify.com/track/1lsBTdE6MGsKeZCD6llNu7
43,"All The Stars (with SZA)","Kendrick Lamar",41333,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
44,Bloom,"Troye Sivan",41327,https://open.spotify.com/track/1hSOt9IeshMkuKP9ri4hOf
45,"Psycho (feat. Ty Dolla $ign)","Post Malone",41222,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
46,"รักน้องคนเดียวววว - เพลงประกอบภาพยนตร์ น้อง.พี่.ที่รัก",UrboyTJ,41176,https://open.spotify.com/track/1vYMSUrfHxmF4r5zPtdqEe
47,"ของขวัญ - Cover Version","The Toys",40658,https://open.spotify.com/track/72bifeUJaxwOtGjGiVqAeB
48,เกลียด,"The Yers",39912,https://open.spotify.com/track/6iXBlrBFuV6W3jExGuWy6f
49,"Me & You ◑",HONNE,35779,https://open.spotify.com/track/2mDeWOqdFJLV2zsrTCPG0T
50,"Where Were You In The Morning?","Shawn Mendes",35509,https://open.spotify.com/track/5cuRYDNIcSu5noyXQpULKg
51,"In My Blood","Shawn Mendes",35418,https://open.spotify.com/track/79jX8RM5CgPqDKdGEKNW9K
52,อย่าบอก,"Atom Chanakan",34116,https://open.spotify.com/track/3CrDt4x72gWHaglwnM0CAH
53,ฝันฤดูร้อน,"The Toys",33088,https://open.spotify.com/track/03UCygRxVwn1CyFEA7fiTV
54,"ดีต่อใจ (To Get Her)",Mild,33061,https://open.spotify.com/track/6i5S9ngfta3qDP6zP5PG7k
55,IDGAF,"Dua Lipa",32333,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
56,OTW,Khalid,32010,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
57,ฝันหวานอายจูบ,Stamp,31590,https://open.spotify.com/track/10DSYghyBjAYJa8iCvdRDv
58,"Freaky Friday (feat. Chris Brown)","Lil Dicky",31259,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
59,ไม่เหมือนใคร,"D Gerrard",31068,https://open.spotify.com/track/39Mg8slCqS2tyaZUZ1cQ1M
60,TOY,"The Toys",30721,https://open.spotify.com/track/2Es5K3EnKVXsGqU8PtZLEL
