,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,อาวรณ์,Polycat,157676,https://open.spotify.com/track/2USX969yFQ250hBULh6Ope
2,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,114193,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
3,"บอกตัวเอง (feat. โป่ง หินเหล็กไฟ)","Room 39",105306,https://open.spotify.com/track/3WQe3r4R1lnJs75ty9UYDF
4,มีผลต่อหัวใจ,"Non Tanon",104181,https://open.spotify.com/track/6LxsOkPSGBOsPhDKFAgYVM
5,หมอกร้าย,Lipta,101417,https://open.spotify.com/track/0EYgFMIXhjcFgX6xe2NY9v
6,"In My Feelings",Drake,100222,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
7,ภาพจำ,"Pop Pongkool",93655,https://open.spotify.com/track/4YRpjJaJpiI36HM36Dn5lS
8,breathin,"Ariana Grande",88523,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
9,"ภูเขาบังเส้นผม feat. TWOPEE",Stamp,87537,https://open.spotify.com/track/5kHLmBd3GTMIFhWdD3berA
10,ความเงียบดังที่สุด,Getsunova,84380,https://open.spotify.com/track/49o9ToewyZywgB5KlaB3WN
11,คนที่ไม่ใช่,O-Pavee,82793,https://open.spotify.com/track/76rs0Apd4Ct5LwJm8pB6r1
12,"Good Luck feat. Maiyarap",Lipta,81623,https://open.spotify.com/track/3tMbwbZpYXGHeg0l45m7Tv
13,"Girls Like You (feat. Cardi B)","Maroon 5",80463,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
14,ขอโทษ,"Burin Boonvisut",76486,https://open.spotify.com/track/6sCQmOY5k4BcjONYyVccaz
15,ถ้าเธอต้องเลือก,Illslick,76212,https://open.spotify.com/track/5Of65kRDivh4UHG3SG5Iad
16,วิชาตัวเบา,Bodyslam,75899,https://open.spotify.com/track/2j2NeZZJ0STZQy5Aw3oZLL
17,"FOREVER YOUNG - KR Ver.",BLACKPINK,75823,https://open.spotify.com/track/57Enap29zKl7NGRdDJjkjA
18,นอนได้แล้ว,"Fukking Hero",74678,https://open.spotify.com/track/5JhLoyD2idGlKXwD9nmYuB
19,"Good Morning Teacher","Atom Chanakan",72772,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
20,หากวันนั้น,"Room 39",71510,https://open.spotify.com/track/4hy03eg0PksOEJraNfqb1O
21,"No Brainer","DJ Khaled",68135,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
22,กำลังจะ,Illslick,63128,https://open.spotify.com/track/18kwPdB3Bx8n9Mk4YsO6LT
23,"Beautiful (feat. Camila Cabello)",Bazzi,61812,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
24,ก็ดี..,Ironboy,60752,https://open.spotify.com/track/1KlpMWDwKBA0HTysXfvjjh
25,"Day 1 ◑",HONNE,60357,https://open.spotify.com/track/7AWZvcyaSBxRzaBJcHf9XL
26,"God is a woman","Ariana Grande",59590,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
27,ถ้าฉันหายไป(Skyline),"Earth Patravee",57778,https://open.spotify.com/track/0goff2JabkZTEq1yKeyoM8
28,พอจะรู้,meyou.,57160,https://open.spotify.com/track/4p4SOBQ0fxHYluEcba6Xrq
29,"Eastside (with Halsey & Khalid)","benny blanco",56587,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
30,"Power Up","Red Velvet",55663,https://open.spotify.com/track/381g0b6QZxC13SzA2HRMIc
31,"Galaxy (feat. Kob The X Factor)","D Gerrard",55208,https://open.spotify.com/track/0yO5RrszdEpqXhDwyhP6nX
32,เท่าไหร่ไม่จำ,Potato,54705,https://open.spotify.com/track/5zRMhQ21pWGN0rPxAS4QkI
33,"KILLING ME",iKON,53495,https://open.spotify.com/track/27kB4qLUCV8nZd2eOgj1Tk
34,ใจเย็นเย็น,Clash,52929,https://open.spotify.com/track/16alky6DYKkpbkKOtAtzTU
35,ใจเย็น,Image,52908,https://open.spotify.com/track/5HoTeTzdfAataCZ0piQyAv
36,2002,Anne-Marie,52290,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
37,ไม่ให้เธอหายไป,"Earth Patravee",48897,https://open.spotify.com/track/1ue2yCGLgvUKnfqQaXN0cb
38,Escape,"Moving and Cut",48835,https://open.spotify.com/track/3QNcZFnVawSjecRnWDd15O
39,"คิดถึงจัง (มาหาหน่อย)","Oat Pramote",47711,https://open.spotify.com/track/63quSq4p0NagZdZI3ttb4f
40,แอบบอกรัก,Jaonaay,46245,https://open.spotify.com/track/1xJP5BQBwQRl59B6EGcujF
41,"LOVE SCENARIO",iKON,46093,https://open.spotify.com/track/6qAzAmPBUpGrk7XADZHR5k
42,"Happy Now",Zedd,45187,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
43,"HANN (Alone)",(G)I-DLE,44804,https://open.spotify.com/track/7gr57cYekMWriyJYbT7oZ4
44,ไม่มีเธอไม่ตาย,"Gam Wichayanee",44766,https://open.spotify.com/track/6mUclBcqOp65gflMeu2UWR
45,"Lover Boy 88",88rising,44546,https://open.spotify.com/track/2vRDFgdJiILUdDOLL8hLH3
46,เกาะสวาทหาดสวรรค์,"Gavin D",44305,https://open.spotify.com/track/193BjzeSedC42I3ydg1SyF
47,ฟัง,SIN,44238,https://open.spotify.com/track/6RjwqDSAllo8d9EfDEK5IV
48,"Thru These Tears",LANY,43769,https://open.spotify.com/track/4gB61mP4tNChn4LgfquMhi
49,"Promises (with Sam Smith)","Calvin Harris",43440,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
50,"SEE U LATER - KR Ver.",BLACKPINK,43171,https://open.spotify.com/track/514mQDPkXmPzsYwGNmkBJZ
51,สมดั่งใจ,"Ammy The Bottom Blues",43107,https://open.spotify.com/track/0r8b4o2jSmUG7vF2BojYlv
52,"REALLY - KR Ver.",BLACKPINK,42952,https://open.spotify.com/track/7AWtaOSb7cgi16wJr3mkuf
53,"As If It's Your Last",BLACKPINK,40146,https://open.spotify.com/track/1Zyd6zQnC6XIIzmg3hP7Ot
54,ฝันหวานอายจูบ,Stamp,38315,https://open.spotify.com/track/10DSYghyBjAYJa8iCvdRDv
55,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",38049,https://open.spotify.com/track/2lYTJK94hb0fd1LQtb6Dhk
56,เกลียด,"The Yers",37752,https://open.spotify.com/track/6iXBlrBFuV6W3jExGuWy6f
57,"Be Alright","Dean Lewis",37278,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
58,04:00,"The Toys",36819,https://open.spotify.com/track/3h7TbK7x7yxJavEZydbOzX
59,Darkside,"Alan Walker",36516,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
