,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"DDU-DU DDU-DU",BLACKPINK,179476,https://open.spotify.com/track/7b8YOVV5quZcSKEijDgyWB
2,"บอกตัวเอง (feat. โป่ง หินเหล็กไฟ)","Room 39",112913,https://open.spotify.com/track/3WQe3r4R1lnJs75ty9UYDF
3,"Forever Young",BLACKPINK,109783,https://open.spotify.com/track/2naEVOadudtXHwtZNfjMDM
4,"Girls Like You (feat. Cardi B)","Maroon 5",107897,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
5,ภาพจำ,"Pop Pongkool",101950,https://open.spotify.com/track/4YRpjJaJpiI36HM36Dn5lS
6,หมอกร้าย,Lipta,96102,https://open.spotify.com/track/0EYgFMIXhjcFgX6xe2NY9v
7,นอนได้แล้ว,"Fukking Hero",89421,https://open.spotify.com/track/5JhLoyD2idGlKXwD9nmYuB
8,ถ้าเธอต้องเลือก,Illslick,86490,https://open.spotify.com/track/5Of65kRDivh4UHG3SG5Iad
9,"Back To You","Selena Gomez",80875,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
10,"Good Morning Teacher","Atom Chanakan",78468,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
11,คนที่ไม่ใช่,O-Pavee,75528,https://open.spotify.com/track/76rs0Apd4Ct5LwJm8pB6r1
12,กำลังจะ,Illslick,73211,https://open.spotify.com/track/18kwPdB3Bx8n9Mk4YsO6LT
13,Really,BLACKPINK,72659,https://open.spotify.com/track/2r5oD7twaQTsv5KoRS6v16
14,"Bed (feat. Ariana Grande)","Nicki Minaj",72097,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
15,ถ้าฉันหายไป(Skyline),"Earth Patravee",69301,https://open.spotify.com/track/0goff2JabkZTEq1yKeyoM8
16,"Day 1 ◑",HONNE,66982,https://open.spotify.com/track/7AWZvcyaSBxRzaBJcHf9XL
17,"Born To Be Yours",Kygo,66381,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
18,2002,Anne-Marie,65008,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
19,"Ocean (feat. Khalid)","Martin Garrix",64789,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
20,แอบบอกรัก,Jaonaay,61671,https://open.spotify.com/track/1xJP5BQBwQRl59B6EGcujF
21,"Better Now","Post Malone",61410,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
22,"FAKE LOVE",BTS,60072,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
23,ไม่มีเธอไม่ตาย,"Gam Wichayanee",59545,https://open.spotify.com/track/6mUclBcqOp65gflMeu2UWR
24,"See U Later",BLACKPINK,58645,https://open.spotify.com/track/3AyLh4R4D3fQfyqCsTdFf3
25,"คิดถึงจัง (มาหาหน่อย)","Oat Pramote",58392,https://open.spotify.com/track/63quSq4p0NagZdZI3ttb4f
26,พอจะรู้,meyou.,57378,https://open.spotify.com/track/4p4SOBQ0fxHYluEcba6Xrq
27,อย่าทำอย่างนั้น,PORTRAIT,53296,https://open.spotify.com/track/1tMotuXLRwAZYpRfz4oAMx
28,04:00,"The Toys",52752,https://open.spotify.com/track/3h7TbK7x7yxJavEZydbOzX
29,"Galaxy (feat. Kob The X Factor)","D Gerrard",52015,https://open.spotify.com/track/0yO5RrszdEpqXhDwyhP6nX
30,ร้อยล้านวิว,Stamp,51207,https://open.spotify.com/track/2KKwNFzypGehPrAZCKc1HW
31,ผิดที่ฉัน,60Miles,51039,https://open.spotify.com/track/65SM4x81LohlqhSVFqITWd
32,"Solo (feat. Demi Lovato)","Clean Bandit",50741,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
33,Youngblood,"5 Seconds of Summer",50193,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
34,"New Light","John Mayer",47831,https://open.spotify.com/track/3bH4HzoZZFq8UpZmI2AMgV
35,"no tears left to cry","Ariana Grande",47430,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
36,"อยู่ดีๆก็… (feat. Youngohm)",Wonderframe,46867,https://open.spotify.com/track/0b9JDLbAgCazIwPSWj6DNL
37,"แบบไหนที่ว่าดี บอกทีจะได้ทำ","Keng Tachaya",45077,https://open.spotify.com/track/7HMS3SGZucS5xK4zBexaKA
38,"Start Again (feat. Logic)",OneRepublic,44168,https://open.spotify.com/track/1Nj2oBISdFDSF8eDuXcALz
39,"LOVE SCENARIO",iKON,43039,https://open.spotify.com/track/6qAzAmPBUpGrk7XADZHR5k
40,รู้ดีว่าไม่ดี,Getsunova,42187,https://open.spotify.com/track/37LAaRNSnB6b1T2ckX6VSk
41,Somebody,"The Chainsmokers",42128,https://open.spotify.com/track/3pWcj8hxj3fsb9TDAcMpEl
42,เกลียด,"The Yers",41850,https://open.spotify.com/track/6iXBlrBFuV6W3jExGuWy6f
43,"Let Me",ZAYN,41067,https://open.spotify.com/track/7Fg342AJtNsIDdwCfX0paC
44,"As If It's Your Last",BLACKPINK,40505,https://open.spotify.com/track/1Zyd6zQnC6XIIzmg3hP7Ot
45,SAD!,XXXTENTACION,40085,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
46,"Strawberries & Cigarettes","Troye Sivan",39882,https://open.spotify.com/track/2z7UKVsBdbA7HFPunDKDP4
47,โสดทัศนศึกษา,"Wan Thanakrit",39507,https://open.spotify.com/track/0ey6V8DFsfMk3y8BQNeKhu
48,"Bye Bye",P-Hot,39035,https://open.spotify.com/track/08oX4H0Td1Fza9eBXzmojN
49,Rise,"Jonas Blue",39017,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
50,"lovely (with Khalid)","Billie Eilish",38655,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
51,ฟัง,SIN,38611,https://open.spotify.com/track/6RjwqDSAllo8d9EfDEK5IV
52,"ประตู อากาศ และวันดีดี","คริส พีรวัส",37828,https://open.spotify.com/track/13pOQ1SGSdzwsVgEQaUU0K
53,"Lucid Dreams","Juice WRLD",36169,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
54,"I'm a Mess","Bebe Rexha",35821,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
55,"ของขวัญ - Cover Version","The Toys",35758,https://open.spotify.com/track/72bifeUJaxwOtGjGiVqAeB
56,"The Middle",Zedd,35508,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
57,"Psycho (feat. Ty Dolla $ign)","Post Malone",35210,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
58,Entertainer,ZAYN,35115,https://open.spotify.com/track/5LTGmestwpHZ1BfCmpFQJx
59,"PICK ME","PRODUCE 48",35071,https://open.spotify.com/track/1LShDXXs40R8bQFNBBupI3
60,"Jackie Chan",Tiësto,34768,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
61,Patient,"Charlie Puth",34766,https://open.spotify.com/track/2ZrHbO88rM6Ijeg0aJmSzl
62,"Taste (feat. Offset)",Tyga,33844,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
