,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Havana,"Camila Cabello",63310,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
2,Wolves,"Selena Gomez",57846,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
3,"Koisuru Fortune Cookie คุกกี้เสี่ยงทาย",BNK48,55723,https://open.spotify.com/track/5OzKApzqDkOVg4P5jQlD8J
4,Perfect,"Ed Sheeran",54083,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
5,"Too Good At Goodbyes","Sam Smith",52512,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
6,อย่าบอก,"Atom Chanakan",52427,https://open.spotify.com/track/3CrDt4x72gWHaglwnM0CAH
7,"What Lovers Do (feat. SZA)","Maroon 5",51906,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
8,"นี่แหละความรัก (This is Love)","Peck Palitchoke",50250,https://open.spotify.com/track/13jEKU2J3JJPe3tpo8p4vY
9,"New Rules","Dua Lipa",49647,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
10,"อยู่ดีๆก็… (feat. Youngohm)",Wonderframe,46077,https://open.spotify.com/track/0b9JDLbAgCazIwPSWj6DNL
11,"How Long","Charlie Puth",45030,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
12,"Shape of You","Ed Sheeran",44497,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
13,"พริบตา x STAMP","Bird Thongchai",44300,https://open.spotify.com/track/4teedU9O1HNw0jMR1VzNev
14,"River (feat. Ed Sheeran)",Eminem,41810,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
15,"Him & I (with Halsey)",G-Eazy,40088,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
16,"Good Morning Teacher","Atom Chanakan",39675,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
17,"Young Dumb & Broke",Khalid,39009,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
18,"จังหวะจะรัก - From “Heartbeat” Original Soundtrack","Violette Wautier",37402,https://open.spotify.com/track/1ux0god9zERqovPLrzRdBT
19,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",37275,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
20,รักตัวเอง,"Room 39",37225,https://open.spotify.com/track/46Uqy57KyAT7xBz6BIqdB3
21,ถอย,Gliss,37145,https://open.spotify.com/track/3nJlzw6Gn33fitnoxJtLSj
22,"Paris in the Rain",Lauv,36105,https://open.spotify.com/track/0RGUIOZtmOXTWOy5EjvQbP
23,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",36085,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
24,Thunder,"Imagine Dragons",35289,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
