,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"All The Stars (with SZA)","Kendrick Lamar",100476,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
2,04:00,"The Toys",73648,https://open.spotify.com/track/3h7TbK7x7yxJavEZydbOzX
3,"Pray For Me (with Kendrick Lamar)","The Weeknd",68662,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
4,วันหนึ่งฉันเดินเข้าป่า,"Max Jenmana",67423,https://open.spotify.com/track/46upHQ13xvw1y7ykEJpWU5
5,"Koisuru Fortune Cookie คุกกี้เสี่ยงทาย",BNK48,66413,https://open.spotify.com/track/5OzKApzqDkOVg4P5jQlD8J
6,"อยู่ดีๆก็… (feat. Youngohm)",Wonderframe,61094,https://open.spotify.com/track/0b9JDLbAgCazIwPSWj6DNL
7,IDGAF,"Dua Lipa",59615,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
8,"The Middle",Zedd,59022,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
9,TOY,"The Toys",58770,https://open.spotify.com/track/2Es5K3EnKVXsGqU8PtZLEL
10,FRIENDS,Marshmello,57776,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
11,"พริบตา x STAMP","Bird Thongchai",56146,https://open.spotify.com/track/20Tl8mWZhryG75y3nqnlKE
12,รู้ดีว่าไม่ดี,Getsunova,54122,https://open.spotify.com/track/37LAaRNSnB6b1T2ckX6VSk
13,"God's Plan",Drake,53919,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
14,"Psycho (feat. Ty Dolla $ign)","Post Malone",51597,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
15,Havana,"Camila Cabello",50374,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
16,อย่าบอก,"Atom Chanakan",48686,https://open.spotify.com/track/3CrDt4x72gWHaglwnM0CAH
17,Wolves,"Selena Gomez",47644,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
18,"Capital Letters","Hailee Steinfeld",46995,https://open.spotify.com/track/3towKHKVOXCCcL1fHv6xFO
19,"Never Be the Same","Camila Cabello",46531,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
20,"Good Morning Teacher","Atom Chanakan",46103,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
21,"Bad Boy","Red Velvet",45263,https://open.spotify.com/track/5GKwq4sO5ZHKuWaDmdwMQc
22,ถ้าฉันหายไป(Skyline),"Earth Patravee",44776,https://open.spotify.com/track/0goff2JabkZTEq1yKeyoM8
23,ผู้ช่วยที่ดีที่สุด,Polycat,44142,https://open.spotify.com/track/6dZzTJXuTR2WWtGOvHutOU
24,"Love Lies (with Normani)",Khalid,44102,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
25,พอจะรู้,meyou.,41424,https://open.spotify.com/track/4p4SOBQ0fxHYluEcba6Xrq
26,"Galaxy (feat. Kob The X Factor)","D Gerrard",40670,https://open.spotify.com/track/0yO5RrszdEpqXhDwyhP6nX
27,"Getting Over You",Lauv,40151,https://open.spotify.com/track/2BNkTvg1kHAAfGvqh56x5a
28,"Paris in the Rain",Lauv,40003,https://open.spotify.com/track/0RGUIOZtmOXTWOy5EjvQbP
29,Perfect,"Ed Sheeran",39941,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
30,Mine,Bazzi,39764,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
31,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",38519,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
32,ถอย,Gliss,38342,https://open.spotify.com/track/3nJlzw6Gn33fitnoxJtLSj
33,"นี่แหละความรัก (This is Love)","Peck Palitchoke",38116,https://open.spotify.com/track/13jEKU2J3JJPe3tpo8p4vY
34,"Too Good At Goodbyes","Sam Smith",37799,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
35,"กว่าจักรวาล x Atom","Bird Thongchai",35055,https://open.spotify.com/track/2Akqcxo6AiquGYFcS5dmvT
36,"จังหวะจะรัก - From “Heartbeat” Original Soundtrack","Violette Wautier",34735,https://open.spotify.com/track/1ux0god9zERqovPLrzRdBT
37,"New Rules","Dua Lipa",33846,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
38,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,33304,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
39,Thunder,"Imagine Dragons",33304,https://open.spotify.com/track/26gceVsA1ybT8qsX3aYLEn
40,"Sick Boy","The Chainsmokers",33110,https://open.spotify.com/track/2IKZkwHI5zsZf70STuhvOX
41,"All Falls Down (feat. Juliander)","Alan Walker",33066,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
42,"For You (Fifty Shades Freed) (& Rita Ora)","Liam Payne",32864,https://open.spotify.com/track/5hM6sP0Gh1jD57drszNueC
43,"River (feat. Ed Sheeran)",Eminem,32042,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
44,เกลียด,"The Yers",30860,https://open.spotify.com/track/6iXBlrBFuV6W3jExGuWy6f
45,"Finesse (Remix) [feat. Cardi B]","Bruno Mars",30684,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
46,พอ,"Atom Chanakan",30513,https://open.spotify.com/track/72KOmS4Af9IEFsT87TK1VQ
47,ถอนหายใจ,Mild,30064,https://open.spotify.com/track/1rve7sIFz7JVxwfrisKyP3
48,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",28585,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
49,ฝืนตัวเองไม่เป็น,"Non Tanon",28477,https://open.spotify.com/track/0FlZM6SFefxfXzX68IpVxb
50,ทรมานตัวเอง,"Bell Supol",28445,https://open.spotify.com/track/5lRwWrPogCyocSL7SYogg8
51,"LOVE SCENARIO",iKON,28013,https://open.spotify.com/track/6qAzAmPBUpGrk7XADZHR5k
52,"What Lovers Do (feat. SZA)","Maroon 5",27186,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
53,หน้าหนาวที่แล้ว,"The Toys",26956,https://open.spotify.com/track/5mVeBv0bUZPJU7kPZcm594
54,วีนัส,B5,26811,https://open.spotify.com/track/35vsbmsh8xVfbTLKQHKEI3
55,"ยังรู้สึก (Old Feeling)","Ink Waruntorn",26565,https://open.spotify.com/track/0ggTgd1SJIk539ZdC3LM6T
56,"How Long","Charlie Puth",26076,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
57,รักตัวเอง,"Room 39",25854,https://open.spotify.com/track/46Uqy57KyAT7xBz6BIqdB3
58,Naked,"James Arthur",25305,https://open.spotify.com/track/7krbSH3rd8lhIZvuzTV3Bl
59,"กำแพง x Polycat","Bird Thongchai",25047,https://open.spotify.com/track/0Y5R8ky6ex7dlY4xeSMm6a
60,"Want You Back","5 Seconds of Summer",24475,https://open.spotify.com/track/2Pvr8rYuh5J8V7QglJhH6W
61,"ฝัง (ใน) ใจ",ETC.,24284,https://open.spotify.com/track/2sO402csNLrYEpiJXlZUCD
62,"I Miss You (feat. Julia Michaels)","Clean Bandit",23902,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
63,"Young Dumb & Broke",Khalid,23899,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
64,เธอเปลี่ยนไป,"Boy Peacemaker",23590,https://open.spotify.com/track/3Z3dQbXUR16bSYGhYKxykb
65,ยังคิดถึง...(Same),"Marc Tatchapon",23345,https://open.spotify.com/track/1OlInnJssr9pXY0Ooa0SDT
66,ขอเถอะปีนี้,Somkiat,22861,https://open.spotify.com/track/2pP42qX8vKgqHjPYOHlhKf
67,โลกที่ไม่มีเธอ,PORTRAIT,22785,https://open.spotify.com/track/0fSl800MbFmlLs1aUxx7Z2
68,"Shape of You","Ed Sheeran",22666,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
69,ไม่เหมือนใคร,"D Gerrard",22657,https://open.spotify.com/track/39Mg8slCqS2tyaZUZ1cQ1M
70,Attention,"Charlie Puth",22598,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
71,Heaven,"Julia Michaels",21970,https://open.spotify.com/track/4QfNOZN7vrQCQKK1ZJ3XPb
72,Anywhere,"Rita Ora",21711,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
73,เจ็บจนไม่เข้าใจ,PORTRAIT,21527,https://open.spotify.com/track/4URCEQmgwuwaHiySIqGmIa
74,rockstar,"Post Malone",21514,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
75,"Something Just Like This","The Chainsmokers",21378,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
76,"So Far Away (feat. Jamie Scott & Romy Dya)","Martin Garrix",21290,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM
77,ฉันก็ยังจะบอกรักเธอ,Nann,20540,https://open.spotify.com/track/031ODm9IrRkQDzzQy7EPHp
78,"You Owe Me","The Chainsmokers",20083,https://open.spotify.com/track/1USJRpWDFhxwhCajPXBeel
79,เป็นทุกอย่าง,"Room 39",19679,https://open.spotify.com/track/54BVTgTpCjK8cRhTFDjHNK
80,ที่เก่า,"Marc Tatchapon",19091,https://open.spotify.com/track/0xBShp4NOIh5ChC55Xj0zz
81,"Rewrite The Stars","Zac Efron",19065,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
82,"There for You","Martin Garrix",18996,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
83,"ชีวิตเดี่ยว x Getsunova","Bird Thongchai",18723,https://open.spotify.com/track/6nqaDnc3fZfX05SHSQQuBQ
84,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",18672,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
85,"Him & I (with Halsey)",G-Eazy,18363,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
86,"Look Alive (feat. Drake)","BlocBoy JB",18212,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
87,"There's Nothing Holdin' Me Back","Shawn Mendes",17995,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
88,สารภาพ,Playground,17991,https://open.spotify.com/track/4Gjl7Z9S2LZEnWLeqQh67K
89,ก่อนฤดูฝน,"The Toys",17939,https://open.spotify.com/track/1oyYuiIundjUzgi0oyBNyB
