,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,154416,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
2,"บอกตัวเอง (feat. โป่ง หินเหล็กไฟ)","Room 39",119619,https://open.spotify.com/track/3WQe3r4R1lnJs75ty9UYDF
3,หมอกร้าย,Lipta,105642,https://open.spotify.com/track/0EYgFMIXhjcFgX6xe2NY9v
4,ภาพจำ,"Pop Pongkool",104410,https://open.spotify.com/track/4YRpjJaJpiI36HM36Dn5lS
5,"FOREVER YOUNG - KR Ver.",BLACKPINK,103900,https://open.spotify.com/track/57Enap29zKl7NGRdDJjkjA
6,"Girls Like You (feat. Cardi B)","Maroon 5",99837,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
7,นอนได้แล้ว,"Fukking Hero",92408,https://open.spotify.com/track/5JhLoyD2idGlKXwD9nmYuB
8,"Don’t Matter To Me",Drake,89639,https://open.spotify.com/track/36ONiya0OANYknz0GgJmwB
9,ถ้าเธอต้องเลือก,Illslick,89397,https://open.spotify.com/track/5Of65kRDivh4UHG3SG5Iad
10,คนที่ไม่ใช่,O-Pavee,80135,https://open.spotify.com/track/76rs0Apd4Ct5LwJm8pB6r1
11,"Good Morning Teacher","Atom Chanakan",79649,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
12,กำลังจะ,Illslick,76141,https://open.spotify.com/track/18kwPdB3Bx8n9Mk4YsO6LT
13,ถ้าฉันหายไป(Skyline),"Earth Patravee",71770,https://open.spotify.com/track/0goff2JabkZTEq1yKeyoM8
14,"Back To You","Selena Gomez",70599,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
15,"Day 1 ◑",HONNE,70006,https://open.spotify.com/track/7AWZvcyaSBxRzaBJcHf9XL
16,แอบบอกรัก,Jaonaay,64095,https://open.spotify.com/track/1xJP5BQBwQRl59B6EGcujF
17,2002,Anne-Marie,62539,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
18,ฟัง,SIN,61953,https://open.spotify.com/track/6RjwqDSAllo8d9EfDEK5IV
19,"Bed (feat. Ariana Grande)","Nicki Minaj",61150,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
20,พอจะรู้,meyou.,60700,https://open.spotify.com/track/4p4SOBQ0fxHYluEcba6Xrq
21,"REALLY - KR Ver.",BLACKPINK,59087,https://open.spotify.com/track/7AWtaOSb7cgi16wJr3mkuf
22,"Ocean (feat. Khalid)","Martin Garrix",58959,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
23,"คิดถึงจัง (มาหาหน่อย)","Oat Pramote",58754,https://open.spotify.com/track/63quSq4p0NagZdZI3ttb4f
24,"Bye Bye",P-Hot,58540,https://open.spotify.com/track/08oX4H0Td1Fza9eBXzmojN
25,ไม่มีเธอไม่ตาย,"Gam Wichayanee",56552,https://open.spotify.com/track/6mUclBcqOp65gflMeu2UWR
26,"Born To Be Yours",Kygo,54792,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
27,"Solo (feat. Demi Lovato)","Clean Bandit",54542,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
28,"Better Now","Post Malone",53784,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
29,04:00,"The Toys",52967,https://open.spotify.com/track/3h7TbK7x7yxJavEZydbOzX
30,"Galaxy (feat. Kob The X Factor)","D Gerrard",52481,https://open.spotify.com/track/0yO5RrszdEpqXhDwyhP6nX
31,ผิดที่ฉัน,60Miles,51481,https://open.spotify.com/track/65SM4x81LohlqhSVFqITWd
32,"FAKE LOVE",BTS,51089,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
33,ร้อยล้านวิว,Stamp,48432,https://open.spotify.com/track/2KKwNFzypGehPrAZCKc1HW
34,"SEE U LATER - KR Ver.",BLACKPINK,46390,https://open.spotify.com/track/514mQDPkXmPzsYwGNmkBJZ
35,"PICK ME","PRODUCE 48",46193,https://open.spotify.com/track/1LShDXXs40R8bQFNBBupI3
36,"อยู่ดีๆก็… (feat. Youngohm)",Wonderframe,45845,https://open.spotify.com/track/0b9JDLbAgCazIwPSWj6DNL
37,"LOVE SCENARIO",iKON,44999,https://open.spotify.com/track/6qAzAmPBUpGrk7XADZHR5k
38,อย่าทำอย่างนั้น,PORTRAIT,44932,https://open.spotify.com/track/1tMotuXLRwAZYpRfz4oAMx
39,"I'm a Mess","Bebe Rexha",44749,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
40,เกลียด,"The Yers",43633,https://open.spotify.com/track/6iXBlrBFuV6W3jExGuWy6f
41,BAAM,MOMOLAND,43121,https://open.spotify.com/track/4Is1b37KJY9XVCgzp81FBW
42,"ประตู อากาศ และวันดีดี","คริส พีรวัส",42232,https://open.spotify.com/track/13pOQ1SGSdzwsVgEQaUU0K
43,"As If It's Your Last",BLACKPINK,42177,https://open.spotify.com/track/1Zyd6zQnC6XIIzmg3hP7Ot
44,"In My Feelings",Drake,41061,https://open.spotify.com/track/0bAkKNCQfWkexHFn7fIKns
45,"Strawberries & Cigarettes","Troye Sivan",41015,https://open.spotify.com/track/2z7UKVsBdbA7HFPunDKDP4
46,ช่วยบอกให้ชัด,"Fymme Bongkot",40727,https://open.spotify.com/track/7qlqSQTOfKCNx4qUDXk4Wp
47,"Let Me",ZAYN,40508,https://open.spotify.com/track/7Fg342AJtNsIDdwCfX0paC
48,"no tears left to cry","Ariana Grande",39683,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
49,ฝันหวานอายจูบ,Stamp,39291,https://open.spotify.com/track/10DSYghyBjAYJa8iCvdRDv
50,ไม่ตอบ,UrboyTJ,39236,https://open.spotify.com/track/2MezCXpLYYWcShseflM6NB
51,"New Light","John Mayer",39232,https://open.spotify.com/track/3bH4HzoZZFq8UpZmI2AMgV
52,"ของขวัญ - Cover Version","The Toys",37206,https://open.spotify.com/track/72bifeUJaxwOtGjGiVqAeB
53,โสดทัศนศึกษา,"Wan Thanakrit",36035,https://open.spotify.com/track/0ey6V8DFsfMk3y8BQNeKhu
54,"Start Again (feat. Logic)",OneRepublic,35247,https://open.spotify.com/track/1Nj2oBISdFDSF8eDuXcALz
55,Rise,"Jonas Blue",35234,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
56,Somebody,"The Chainsmokers",35169,https://open.spotify.com/track/3pWcj8hxj3fsb9TDAcMpEl
