,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,144348,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
2,"บอกตัวเอง (feat. โป่ง หินเหล็กไฟ)","Room 39",120065,https://open.spotify.com/track/3WQe3r4R1lnJs75ty9UYDF
3,หมอกร้าย,Lipta,109915,https://open.spotify.com/track/0EYgFMIXhjcFgX6xe2NY9v
4,ภาพจำ,"Pop Pongkool",105103,https://open.spotify.com/track/4YRpjJaJpiI36HM36Dn5lS
5,"Girls Like You (feat. Cardi B)","Maroon 5",101726,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
6,"FOREVER YOUNG - KR Ver.",BLACKPINK,97776,https://open.spotify.com/track/57Enap29zKl7NGRdDJjkjA
7,นอนได้แล้ว,"Fukking Hero",90758,https://open.spotify.com/track/5JhLoyD2idGlKXwD9nmYuB
8,ถ้าเธอต้องเลือก,Illslick,89409,https://open.spotify.com/track/5Of65kRDivh4UHG3SG5Iad
9,"Don’t Matter To Me",Drake,83086,https://open.spotify.com/track/36ONiya0OANYknz0GgJmwB
10,"Good Morning Teacher","Atom Chanakan",81361,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
11,ขอโทษ,"Burin Boonvisut",80977,https://open.spotify.com/track/6sCQmOY5k4BcjONYyVccaz
12,คนที่ไม่ใช่,O-Pavee,80802,https://open.spotify.com/track/76rs0Apd4Ct5LwJm8pB6r1
13,"Ocean (feat. Khalid)","Martin Garrix",76452,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
14,กำลังจะ,Illslick,74511,https://open.spotify.com/track/18kwPdB3Bx8n9Mk4YsO6LT
15,ถ้าฉันหายไป(Skyline),"Earth Patravee",73200,https://open.spotify.com/track/0goff2JabkZTEq1yKeyoM8
16,"Back To You","Selena Gomez",70440,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
17,"REALLY - KR Ver.",BLACKPINK,66034,https://open.spotify.com/track/7AWtaOSb7cgi16wJr3mkuf
18,"Day 1 ◑",HONNE,65383,https://open.spotify.com/track/7AWZvcyaSBxRzaBJcHf9XL
19,2002,Anne-Marie,65081,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
20,พอจะรู้,meyou.,63457,https://open.spotify.com/track/4p4SOBQ0fxHYluEcba6Xrq
21,"Galaxy (feat. Kob The X Factor)","D Gerrard",62876,https://open.spotify.com/track/0yO5RrszdEpqXhDwyhP6nX
22,แอบบอกรัก,Jaonaay,62702,https://open.spotify.com/track/1xJP5BQBwQRl59B6EGcujF
23,"Bed (feat. Ariana Grande)","Nicki Minaj",60639,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
24,"คิดถึงจัง (มาหาหน่อย)","Oat Pramote",58907,https://open.spotify.com/track/63quSq4p0NagZdZI3ttb4f
25,ฟัง,SIN,57728,https://open.spotify.com/track/6RjwqDSAllo8d9EfDEK5IV
26,ไม่ตอบ,UrboyTJ,53902,https://open.spotify.com/track/2MezCXpLYYWcShseflM6NB
27,ไม่มีเธอไม่ตาย,"Gam Wichayanee",53279,https://open.spotify.com/track/6mUclBcqOp65gflMeu2UWR
28,"Bye Bye",P-Hot,52797,https://open.spotify.com/track/08oX4H0Td1Fza9eBXzmojN
29,"Better Now","Post Malone",51775,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
30,04:00,"The Toys",51477,https://open.spotify.com/track/3h7TbK7x7yxJavEZydbOzX
31,"Born To Be Yours",Kygo,50659,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
32,ผิดที่ฉัน,60Miles,49711,https://open.spotify.com/track/65SM4x81LohlqhSVFqITWd
33,ฝันหวานอายจูบ,Stamp,49538,https://open.spotify.com/track/10DSYghyBjAYJa8iCvdRDv
34,"Solo (feat. Demi Lovato)","Clean Bandit",47579,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
35,"FAKE LOVE",BTS,46837,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
36,โคตรจะภักดี,O-Pavee,46037,https://open.spotify.com/track/5HEUm9PnNxzZAIbThvehky
37,"อยู่ดีๆก็… (feat. Youngohm)",Wonderframe,45983,https://open.spotify.com/track/0b9JDLbAgCazIwPSWj6DNL
38,"LOVE SCENARIO",iKON,45897,https://open.spotify.com/track/6qAzAmPBUpGrk7XADZHR5k
39,ร้อยล้านวิว,Stamp,44988,https://open.spotify.com/track/2KKwNFzypGehPrAZCKc1HW
40,Connection,OneRepublic,44684,https://open.spotify.com/track/3T4UodGkfZObJ43RtA5KFU
41,เกาะสวาทหาดสวรรค์,"Gavin D",44418,https://open.spotify.com/track/193BjzeSedC42I3ydg1SyF
42,เกลียด,"The Yers",42773,https://open.spotify.com/track/6iXBlrBFuV6W3jExGuWy6f
43,"As If It's Your Last",BLACKPINK,41975,https://open.spotify.com/track/1Zyd6zQnC6XIIzmg3hP7Ot
44,"PICK ME","PRODUCE 48",41585,https://open.spotify.com/track/1LShDXXs40R8bQFNBBupI3
45,อย่าทำอย่างนั้น,PORTRAIT,40238,https://open.spotify.com/track/1tMotuXLRwAZYpRfz4oAMx
46,"SEE U LATER - KR Ver.",BLACKPINK,40176,https://open.spotify.com/track/514mQDPkXmPzsYwGNmkBJZ
47,แค่อีกครั้งเดียว,"De Flamingo",38863,https://open.spotify.com/track/5mBmQdFk0MIPBaASLNyhyA
48,"Let Me",ZAYN,38749,https://open.spotify.com/track/7Fg342AJtNsIDdwCfX0paC
49,ช่วยบอกให้ชัด,"Fymme Bongkot",38598,https://open.spotify.com/track/7qlqSQTOfKCNx4qUDXk4Wp
50,มีแฟน'ยัง,"LOTTE Thakorn",38421,https://open.spotify.com/track/63ZR6CaIe8mYwgg8vEWxTQ
51,Rise,"Jonas Blue",38079,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
52,ฝืนตัวเองไม่เป็น,"Non Tanon",37162,https://open.spotify.com/track/0FlZM6SFefxfXzX68IpVxb
53,"In My Feelings",Drake,37137,https://open.spotify.com/track/0bAkKNCQfWkexHFn7fIKns
54,"I'm a Mess","Bebe Rexha",36671,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
55,ไม่เหมือนใคร,"D Gerrard",36543,https://open.spotify.com/track/39Mg8slCqS2tyaZUZ1cQ1M
56,BAAM,MOMOLAND,35347,https://open.spotify.com/track/4Is1b37KJY9XVCgzp81FBW
57,"Strawberries & Cigarettes","Troye Sivan",35220,https://open.spotify.com/track/2z7UKVsBdbA7HFPunDKDP4
58,"Taste (feat. Offset)",Tyga,34799,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
59,"New Light","John Mayer",34328,https://open.spotify.com/track/3bH4HzoZZFq8UpZmI2AMgV
60,"no tears left to cry","Ariana Grande",34324,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
61,Patient,"Charlie Puth",33980,https://open.spotify.com/track/2ZrHbO88rM6Ijeg0aJmSzl
62,"ของขวัญ - Cover Version","The Toys",33372,https://open.spotify.com/track/72bifeUJaxwOtGjGiVqAeB
63,"What is Love?",TWICE,32098,https://open.spotify.com/track/5Ek40FyMPprcvtyZDjqylX
64,"Lucid Dreams","Juice WRLD",31483,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
65,เงาของเมื่อวาน,Cocktail,31186,https://open.spotify.com/track/58xnXpPVENyQQtgvKh16Fs
66,"lovely (with Khalid)","Billie Eilish",31046,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
67,พอ,"Atom Chanakan",31043,https://open.spotify.com/track/72KOmS4Af9IEFsT87TK1VQ
68,"Bad Boy","Red Velvet",30933,https://open.spotify.com/track/5GKwq4sO5ZHKuWaDmdwMQc
69,Somebody,"The Chainsmokers",30902,https://open.spotify.com/track/3pWcj8hxj3fsb9TDAcMpEl
70,SAD!,XXXTENTACION,30252,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
71,Youngblood,"5 Seconds of Summer",30198,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
72,"ประตู อากาศ และวันดีดี","คริส พีรวัส",29940,https://open.spotify.com/track/13pOQ1SGSdzwsVgEQaUU0K
73,จูบ,Illslick,29407,https://open.spotify.com/track/6RvSPE7NJCkzSrc7rn5OOC
74,ดูโง่โง่,"25 hours",29399,https://open.spotify.com/track/2WzTWMuN1kjNMKhLVTpf6U
75,"Jackie Chan",Tiësto,29005,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
76,Entertainer,ZAYN,28513,https://open.spotify.com/track/5LTGmestwpHZ1BfCmpFQJx
77,"I Like It","Cardi B",28276,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
78,"One Kiss (with Dua Lipa)","Calvin Harris",28093,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
79,"I'm so sick",Apink,28089,https://open.spotify.com/track/3lSM3Wn3RJbzAAHzJ3sX1f
80,"Start Again (feat. Logic)",OneRepublic,27857,https://open.spotify.com/track/1Nj2oBISdFDSF8eDuXcALz
81,TOY,"The Toys",27807,https://open.spotify.com/track/2Es5K3EnKVXsGqU8PtZLEL
82,"PLAYING WITH FIRE - KR Ver.",BLACKPINK,27805,https://open.spotify.com/track/5OepnJhqZoyJN8qWo2LZzy
83,อย่าบอก,"Atom Chanakan",27802,https://open.spotify.com/track/3CrDt4x72gWHaglwnM0CAH
84,เจ็บจนไม่เข้าใจ,PORTRAIT,27618,https://open.spotify.com/track/4URCEQmgwuwaHiySIqGmIa
85,LATATA,(G)I-DLE,27195,https://open.spotify.com/track/2ezKXygNO30pXyDQXkm6oD
86,Nonstop,Drake,27169,https://open.spotify.com/track/2Vx8E3K5icPZR7OCklWBXX
87,"BOOMBAYAH - KR Ver.",BLACKPINK,27150,https://open.spotify.com/track/1qAPA8TooLVEqAZ58fhcrt
88,Flower,"Twopee Southside",26809,https://open.spotify.com/track/3Z1A584gUX1pxdlG3Oo8WT
89,"Me & You ◑",HONNE,26490,https://open.spotify.com/track/2mDeWOqdFJLV2zsrTCPG0T
90,"BBoom BBoom",MOMOLAND,26320,https://open.spotify.com/track/3BPoSr2pO34Aan6alFfVto
91,Enemies,Lauv,25910,https://open.spotify.com/track/3JJYIoJ5FyY9E0DGjr7SXF
92,"Never Not",Lauv,25803,https://open.spotify.com/track/4fFfyouye6vrX9o9z4PVMu
93,"Only You (with Little Mix)","Cheat Codes",25645,https://open.spotify.com/track/54l9GJGQ1UCFKe2tzt1Vxt
94,"The Middle",Zedd,25380,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
95,โลกที่ไม่มีเธอ,PORTRAIT,25367,https://open.spotify.com/track/0fSl800MbFmlLs1aUxx7Z2
96,"ดีต่อใจ (To Get Her)",Mild,25024,https://open.spotify.com/track/6i5S9ngfta3qDP6zP5PG7k
97,"WHISTLE - KR Ver.",BLACKPINK,24988,https://open.spotify.com/track/67BbMuItfrHmaNqDxBPF7c
98,ที่เก่า,"Marc Tatchapon",24970,https://open.spotify.com/track/0xBShp4NOIh5ChC55Xj0zz
99,"Psycho (feat. Ty Dolla $ign)","Post Malone",24554,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
100,เป็นทุกอย่าง,"Room 39",24385,https://open.spotify.com/track/09zqmrjQokoAfQJ1WeLkFK
101,"Good Luck feat. Maiyarap",Lipta,24208,https://open.spotify.com/track/3tMbwbZpYXGHeg0l45m7Tv
102,APESHIT,"The Carters",23702,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
103,Havana,"Camila Cabello",23340,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
104,โสดทัศนศึกษา,"Wan Thanakrit",23215,https://open.spotify.com/track/0ey6V8DFsfMk3y8BQNeKhu
105,"Too Good At Goodbyes","Sam Smith",22988,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
106,FRIENDS,Marshmello,22922,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
