,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,ภาพจำ,"Pop Pongkool",104756,https://open.spotify.com/track/4YRpjJaJpiI36HM36Dn5lS
2,นอนได้แล้ว,"Fukking Hero",86239,https://open.spotify.com/track/5JhLoyD2idGlKXwD9nmYuB
3,ถ้าฉันหายไป(Skyline),"Earth Patravee",78338,https://open.spotify.com/track/0goff2JabkZTEq1yKeyoM8
4,"Good Morning Teacher","Atom Chanakan",76860,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
5,Shonichi,BNK48,71712,https://open.spotify.com/track/74sRRQQx5eRdYSA7eaBjvU
6,"Call Out My Name","The Weeknd",69362,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
7,04:00,"The Toys",62497,https://open.spotify.com/track/3h7TbK7x7yxJavEZydbOzX
8,"อยู่ดีๆก็… (feat. Youngohm)",Wonderframe,60869,https://open.spotify.com/track/0b9JDLbAgCazIwPSWj6DNL
9,คนที่ไม่ใช่,O-Pavee,60226,https://open.spotify.com/track/76rs0Apd4Ct5LwJm8pB6r1
10,"555 (ToT)",Wonderframe,59882,https://open.spotify.com/track/5LcwUVWyRxuOfSawnKlbBV
11,"The Middle",Zedd,59399,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
12,รู้ดีว่าไม่ดี,Getsunova,57666,https://open.spotify.com/track/37LAaRNSnB6b1T2ckX6VSk
13,"All The Stars (with SZA)","Kendrick Lamar",57611,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
14,ออเจ้าเอย,"Pete Pol",57447,https://open.spotify.com/track/0vDO51gqh14Pq5gDdHBoKO
15,"Psycho (feat. Ty Dolla $ign)","Post Malone",57127,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
16,Delicate,"Taylor Swift",54949,https://open.spotify.com/track/6NFyWDv5CjfwuzoCkw47Xf
