,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"DDU-DU DDU-DU",BLACKPINK,285620,https://open.spotify.com/track/7b8YOVV5quZcSKEijDgyWB
2,"Forever Young",BLACKPINK,153735,https://open.spotify.com/track/2naEVOadudtXHwtZNfjMDM
3,Really,BLACKPINK,128423,https://open.spotify.com/track/2r5oD7twaQTsv5KoRS6v16
4,"บอกตัวเอง (feat. โป่ง หินเหล็กไฟ)","Room 39",110121,https://open.spotify.com/track/3WQe3r4R1lnJs75ty9UYDF
5,"See U Later",BLACKPINK,109357,https://open.spotify.com/track/3AyLh4R4D3fQfyqCsTdFf3
6,"Girls Like You (feat. Cardi B)","Maroon 5",107419,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
7,ภาพจำ,"Pop Pongkool",101646,https://open.spotify.com/track/4YRpjJaJpiI36HM36Dn5lS
8,หมอกร้าย,Lipta,92679,https://open.spotify.com/track/0EYgFMIXhjcFgX6xe2NY9v
9,นอนได้แล้ว,"Fukking Hero",90853,https://open.spotify.com/track/5JhLoyD2idGlKXwD9nmYuB
10,ถ้าเธอต้องเลือก,Illslick,83266,https://open.spotify.com/track/5Of65kRDivh4UHG3SG5Iad
11,"Back To You","Selena Gomez",79990,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
12,"Good Morning Teacher","Atom Chanakan",78117,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
13,คนที่ไม่ใช่,O-Pavee,73885,https://open.spotify.com/track/76rs0Apd4Ct5LwJm8pB6r1
14,กำลังจะ,Illslick,71189,https://open.spotify.com/track/18kwPdB3Bx8n9Mk4YsO6LT
15,ถ้าฉันหายไป(Skyline),"Earth Patravee",70743,https://open.spotify.com/track/0goff2JabkZTEq1yKeyoM8
16,"FAKE LOVE",BTS,67110,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
17,"Better Now","Post Malone",66802,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
18,"Day 1 ◑",HONNE,64077,https://open.spotify.com/track/7AWZvcyaSBxRzaBJcHf9XL
19,แอบบอกรัก,Jaonaay,64058,https://open.spotify.com/track/1xJP5BQBwQRl59B6EGcujF
20,2002,Anne-Marie,63904,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
21,"คิดถึงจัง (มาหาหน่อย)","Oat Pramote",60463,https://open.spotify.com/track/63quSq4p0NagZdZI3ttb4f
22,Youngblood,"5 Seconds of Summer",57635,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
23,"no tears left to cry","Ariana Grande",57093,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
24,พอจะรู้,meyou.,56750,https://open.spotify.com/track/4p4SOBQ0fxHYluEcba6Xrq
25,ไม่มีเธอไม่ตาย,"Gam Wichayanee",56667,https://open.spotify.com/track/6mUclBcqOp65gflMeu2UWR
26,04:00,"The Toys",55394,https://open.spotify.com/track/3h7TbK7x7yxJavEZydbOzX
27,"Bed (feat. Ariana Grande)","Nicki Minaj",53273,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
28,ร้อยล้านวิว,Stamp,51311,https://open.spotify.com/track/2KKwNFzypGehPrAZCKc1HW
29,"Galaxy (feat. Kob The X Factor)","D Gerrard",51145,https://open.spotify.com/track/0yO5RrszdEpqXhDwyhP6nX
30,"New Light","John Mayer",49377,https://open.spotify.com/track/3bH4HzoZZFq8UpZmI2AMgV
31,ผิดที่ฉัน,60Miles,48976,https://open.spotify.com/track/65SM4x81LohlqhSVFqITWd
32,"อยู่ดีๆก็… (feat. Youngohm)",Wonderframe,47969,https://open.spotify.com/track/0b9JDLbAgCazIwPSWj6DNL
33,"Ocean (feat. Khalid)","Martin Garrix",47044,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
34,รู้ดีว่าไม่ดี,Getsunova,45129,https://open.spotify.com/track/37LAaRNSnB6b1T2ckX6VSk
35,"lovely (with Khalid)","Billie Eilish",45006,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
36,"Solo (feat. Demi Lovato)","Clean Bandit",44972,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
37,"Strawberries & Cigarettes","Troye Sivan",44753,https://open.spotify.com/track/2z7UKVsBdbA7HFPunDKDP4
38,"Let Me",ZAYN,44217,https://open.spotify.com/track/7Fg342AJtNsIDdwCfX0paC
39,"LOVE SCENARIO",iKON,43163,https://open.spotify.com/track/6qAzAmPBUpGrk7XADZHR5k
40,"Born To Be Yours",Kygo,42762,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
41,Entertainer,ZAYN,41955,https://open.spotify.com/track/5LTGmestwpHZ1BfCmpFQJx
42,"As If It's Your Last",BLACKPINK,41716,https://open.spotify.com/track/1Zyd6zQnC6XIIzmg3hP7Ot
43,เกลียด,"The Yers",41000,https://open.spotify.com/track/6iXBlrBFuV6W3jExGuWy6f
