,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Koisuru Fortune Cookie คุกกี้เสี่ยงทาย",BNK48,113316,https://open.spotify.com/track/5OzKApzqDkOVg4P5jQlD8J
2,04:00,"The Toys",87751,https://open.spotify.com/track/3h7TbK7x7yxJavEZydbOzX
3,TOY,"The Toys",82770,https://open.spotify.com/track/2Es5K3EnKVXsGqU8PtZLEL
4,Havana,"Camila Cabello",69766,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
5,วันหนึ่งฉันเดินเข้าป่า,"Max Jenmana",68658,https://open.spotify.com/track/46upHQ13xvw1y7ykEJpWU5
6,"อยู่ดีๆก็… (feat. Youngohm)",Wonderframe,65234,https://open.spotify.com/track/0b9JDLbAgCazIwPSWj6DNL
7,IDGAF,"Dua Lipa",56937,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
8,Wolves,"Selena Gomez",56608,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
9,"Never Be the Same","Camila Cabello",56599,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
10,"Bad Boy","Red Velvet",55075,https://open.spotify.com/track/5GKwq4sO5ZHKuWaDmdwMQc
11,"พริบตา x STAMP","Bird Thongchai",53887,https://open.spotify.com/track/4teedU9O1HNw0jMR1VzNev
12,Perfect,"Ed Sheeran",53017,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
13,อย่าบอก,"Atom Chanakan",51923,https://open.spotify.com/track/3CrDt4x72gWHaglwnM0CAH
14,"Good Morning Teacher","Atom Chanakan",47440,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
15,"What Lovers Do (feat. SZA)","Maroon 5",47120,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
16,ถอย,Gliss,47061,https://open.spotify.com/track/3nJlzw6Gn33fitnoxJtLSj
17,"นี่แหละความรัก (This is Love)","Peck Palitchoke",44078,https://open.spotify.com/track/13jEKU2J3JJPe3tpo8p4vY
18,"Too Good At Goodbyes","Sam Smith",42505,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
19,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",41543,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
20,"New Rules","Dua Lipa",40926,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
