,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Koisuru Fortune Cookie คุกกี้เสี่ยงทาย",BNK48,78952,https://open.spotify.com/track/5OzKApzqDkOVg4P5jQlD8J
2,Havana,"Camila Cabello",75073,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
3,"Never Be the Same","Camila Cabello",59619,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
4,"อยู่ดีๆก็… (feat. Youngohm)",Wonderframe,56161,https://open.spotify.com/track/0b9JDLbAgCazIwPSWj6DNL
5,Wolves,"Selena Gomez",55935,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
6,"What Lovers Do (feat. SZA)","Maroon 5",51842,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
7,"Finesse (Remix) [feat. Cardi B]","Bruno Mars",49913,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
8,อย่าบอก,"Atom Chanakan",48375,https://open.spotify.com/track/3CrDt4x72gWHaglwnM0CAH
9,Perfect,"Ed Sheeran",48176,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
10,"Too Good At Goodbyes","Sam Smith",47624,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
11,"พริบตา x STAMP","Bird Thongchai",47059,https://open.spotify.com/track/4teedU9O1HNw0jMR1VzNev
12,ถอย,Gliss,45970,https://open.spotify.com/track/3nJlzw6Gn33fitnoxJtLSj
13,"นี่แหละความรัก (This is Love)","Peck Palitchoke",44687,https://open.spotify.com/track/13jEKU2J3JJPe3tpo8p4vY
14,"How Long","Charlie Puth",43697,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
15,"Paris in the Rain",Lauv,43054,https://open.spotify.com/track/0RGUIOZtmOXTWOy5EjvQbP
16,"My My My!","Troye Sivan",42875,https://open.spotify.com/track/2Tq2R8sRftNEqdgJK5HadO
17,"New Rules","Dua Lipa",42816,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
18,"River (feat. Ed Sheeran)",Eminem,41545,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
19,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",40758,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
20,Thunder,"Imagine Dragons",40502,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
21,"Good Morning Teacher","Atom Chanakan",40417,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
22,"Him & I (with Halsey)",G-Eazy,40188,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
23,วันหนึ่งฉันเดินเข้าป่า,"Max Jenmana",40182,https://open.spotify.com/track/46upHQ13xvw1y7ykEJpWU5
24,IDGAF,"Dua Lipa",39360,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
25,"Shape of You","Ed Sheeran",38300,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
26,"For You (Fifty Shades Freed) (& Rita Ora)","Liam Payne",36902,https://open.spotify.com/track/5hM6sP0Gh1jD57drszNueC
27,"All Falls Down (feat. Juliander)","Alan Walker",36062,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
28,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",35276,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
29,"จังหวะจะรัก - From “Heartbeat” Original Soundtrack","Violette Wautier",35248,https://open.spotify.com/track/1ux0god9zERqovPLrzRdBT
30,"All The Stars (with SZA)","Kendrick Lamar",35233,https://open.spotify.com/track/12SJpYZEdj4kzWZ8FPFg4Y
31,"Young Dumb & Broke",Khalid,35164,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
32,รักตัวเอง,"Room 39",34926,https://open.spotify.com/track/46Uqy57KyAT7xBz6BIqdB3
33,"So Far Away (feat. Jamie Scott & Romy Dya)","Martin Garrix",31125,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM
34,พอ,"Atom Chanakan",30354,https://open.spotify.com/track/72KOmS4Af9IEFsT87TK1VQ
35,ถอนหายใจ,Mild,29601,https://open.spotify.com/track/1rve7sIFz7JVxwfrisKyP3
36,"Let You Down",NF,29084,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
37,"End Game","Taylor Swift",28922,https://open.spotify.com/track/2x0WlnmfG39ZuDmstl9xfX
38,"ชีวิตเดี่ยว x Getsunova","Bird Thongchai",28851,https://open.spotify.com/track/0fBkUQkG6Kc8ig6aF12ofF
39,หน้าหนาวที่แล้ว,"The Toys",28517,https://open.spotify.com/track/5mVeBv0bUZPJU7kPZcm594
40,Anywhere,"Rita Ora",28429,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
41,"I Miss You (feat. Julia Michaels)","Clean Bandit",27865,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
42,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",27486,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
