,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"All The Stars (with SZA)","Kendrick Lamar",105971,https://open.spotify.com/track/2Imq77E6CEJR5TPUxlJvTY
2,"Pray For Me (with Kendrick Lamar)","The Weeknd",80358,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
3,04:00,"The Toys",79518,https://open.spotify.com/track/3h7TbK7x7yxJavEZydbOzX
4,"Koisuru Fortune Cookie คุกกี้เสี่ยงทาย",BNK48,73257,https://open.spotify.com/track/5OzKApzqDkOVg4P5jQlD8J
5,วันหนึ่งฉันเดินเข้าป่า,"Max Jenmana",72723,https://open.spotify.com/track/46upHQ13xvw1y7ykEJpWU5
6,TOY,"The Toys",64039,https://open.spotify.com/track/2Es5K3EnKVXsGqU8PtZLEL
7,"อยู่ดีๆก็… (feat. Youngohm)",Wonderframe,62617,https://open.spotify.com/track/0b9JDLbAgCazIwPSWj6DNL
8,IDGAF,"Dua Lipa",59397,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
9,Havana,"Camila Cabello",57593,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
10,"พริบตา x STAMP","Bird Thongchai",57518,https://open.spotify.com/track/20Tl8mWZhryG75y3nqnlKE
11,"The Middle",Zedd,57154,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
12,"Bad Boy","Red Velvet",56003,https://open.spotify.com/track/5GKwq4sO5ZHKuWaDmdwMQc
13,"Never Be the Same","Camila Cabello",52253,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
14,"God's Plan",Drake,51403,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
15,Wolves,"Selena Gomez",50881,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
16,อย่าบอก,"Atom Chanakan",50629,https://open.spotify.com/track/3CrDt4x72gWHaglwnM0CAH
17,"Capital Letters","Hailee Steinfeld",47648,https://open.spotify.com/track/3towKHKVOXCCcL1fHv6xFO
18,ผู้ช่วยที่ดีที่สุด,Polycat,47253,https://open.spotify.com/track/6dZzTJXuTR2WWtGOvHutOU
19,"Good Morning Teacher","Atom Chanakan",43776,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
20,Perfect,"Ed Sheeran",42958,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
21,"Paris in the Rain",Lauv,42440,https://open.spotify.com/track/0RGUIOZtmOXTWOy5EjvQbP
22,FRIENDS,Marshmello,41917,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
23,ถอย,Gliss,41762,https://open.spotify.com/track/3nJlzw6Gn33fitnoxJtLSj
24,"What Lovers Do (feat. SZA)","Maroon 5",41374,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
25,"Sick Boy","The Chainsmokers",40470,https://open.spotify.com/track/2IKZkwHI5zsZf70STuhvOX
26,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",40409,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
27,"นี่แหละความรัก (This is Love)","Peck Palitchoke",39645,https://open.spotify.com/track/13jEKU2J3JJPe3tpo8p4vY
28,"Too Good At Goodbyes","Sam Smith",39334,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
29,Mine,Bazzi,38659,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
30,ทรมานตัวเอง,"Bell Supol",38055,https://open.spotify.com/track/5lRwWrPogCyocSL7SYogg8
31,"Galaxy (feat. Kob The X Factor)","D Gerrard",37840,https://open.spotify.com/track/0yO5RrszdEpqXhDwyhP6nX
32,วีนัส,B5,37230,https://open.spotify.com/track/35vsbmsh8xVfbTLKQHKEI3
33,"River (feat. Ed Sheeran)",Eminem,36610,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
34,"For You (Fifty Shades Freed) (& Rita Ora)","Liam Payne",36168,https://open.spotify.com/track/5hM6sP0Gh1jD57drszNueC
35,"All Falls Down (feat. Juliander)","Alan Walker",35570,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
36,"New Rules","Dua Lipa",35453,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
37,"จังหวะจะรัก - From “Heartbeat” Original Soundtrack","Violette Wautier",34915,https://open.spotify.com/track/1ux0god9zERqovPLrzRdBT
38,Thunder,"Imagine Dragons",34308,https://open.spotify.com/track/5VnDkUNyX6u5Sk0yZiP8XB
39,"LOVE SCENARIO",iKON,33241,https://open.spotify.com/track/6qAzAmPBUpGrk7XADZHR5k
40,รักตัวเอง,"Room 39",32389,https://open.spotify.com/track/46Uqy57KyAT7xBz6BIqdB3
41,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,32191,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
42,พอจะรู้,meyou.,32079,https://open.spotify.com/track/4p4SOBQ0fxHYluEcba6Xrq
43,"Love Lies (with Normani)",Khalid,31974,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
44,"Finesse (Remix) [feat. Cardi B]","Bruno Mars",31276,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
45,พอ,"Atom Chanakan",30973,https://open.spotify.com/track/72KOmS4Af9IEFsT87TK1VQ
46,"Him & I (with Halsey)",G-Eazy,30685,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
47,ถอนหายใจ,Mild,30342,https://open.spotify.com/track/1rve7sIFz7JVxwfrisKyP3
48,"Getting Over You",Lauv,30058,https://open.spotify.com/track/2BNkTvg1kHAAfGvqh56x5a
49,"How Long","Charlie Puth",29856,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
50,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",29655,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
51,หน้าหนาวที่แล้ว,"The Toys",28361,https://open.spotify.com/track/5mVeBv0bUZPJU7kPZcm594
52,รู้ดีว่าไม่ดี,Getsunova,28334,https://open.spotify.com/track/37LAaRNSnB6b1T2ckX6VSk
53,ฝืนตัวเองไม่เป็น,"Non Tanon",27355,https://open.spotify.com/track/0FlZM6SFefxfXzX68IpVxb
54,Naked,"James Arthur",26921,https://open.spotify.com/track/7krbSH3rd8lhIZvuzTV3Bl
55,"I Miss You (feat. Julia Michaels)","Clean Bandit",26151,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
56,เธอเปลี่ยนไป,"Boy Peacemaker",25765,https://open.spotify.com/track/3Z3dQbXUR16bSYGhYKxykb
57,"You Owe Me","The Chainsmokers",24916,https://open.spotify.com/track/1USJRpWDFhxwhCajPXBeel
58,เป็นทุกอย่าง,"Room 39",24774,https://open.spotify.com/track/54BVTgTpCjK8cRhTFDjHNK
59,"The Ways (with Swae Lee)",Khalid,24475,https://open.spotify.com/track/5jyyPsIGM2yqkZN9R3TmvN
60,"ฝัง (ใน) ใจ",ETC.,24222,https://open.spotify.com/track/2sO402csNLrYEpiJXlZUCD
61,Attention,"Charlie Puth",23853,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
62,"Shape of You","Ed Sheeran",23833,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
63,"Something Just Like This","The Chainsmokers",23797,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
64,ขอเถอะปีนี้,Somkiat,23762,https://open.spotify.com/track/2pP42qX8vKgqHjPYOHlhKf
65,"X (with 2 Chainz & Saudi)","ScHoolboy Q",23277,https://open.spotify.com/track/4LmAnpjlhWTahvRkYR8xJa
66,"Young Dumb & Broke",Khalid,23201,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
67,โลกที่ไม่มีเธอ,PORTRAIT,22966,https://open.spotify.com/track/0fSl800MbFmlLs1aUxx7Z2
68,"So Far Away (feat. Jamie Scott & Romy Dya)","Martin Garrix",22927,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM
69,ยังคิดถึง...(Same),"Marc Tatchapon",22879,https://open.spotify.com/track/1OlInnJssr9pXY0Ooa0SDT
70,ฉันก็ยังจะบอกรักเธอ,Nann,22841,https://open.spotify.com/track/031ODm9IrRkQDzzQy7EPHp
71,Anywhere,"Rita Ora",22428,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
72,"Bad Luck",Lipta,22070,https://open.spotify.com/track/6KtTbMttJ8ZtMG6VMds2B2
73,rockstar,"Post Malone",21882,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
74,"ชีวิตเดี่ยว x Getsunova","Bird Thongchai",21750,https://open.spotify.com/track/6nqaDnc3fZfX05SHSQQuBQ
75,เจ็บจนไม่เข้าใจ,PORTRAIT,21121,https://open.spotify.com/track/4URCEQmgwuwaHiySIqGmIa
76,"Rewrite The Stars","Zac Efron",20940,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
77,Heaven,"Julia Michaels",20573,https://open.spotify.com/track/4QfNOZN7vrQCQKK1ZJ3XPb
78,"There for You","Martin Garrix",20311,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
79,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",20055,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
80,ไม่เหมือนใคร,"D Gerrard",20043,https://open.spotify.com/track/39Mg8slCqS2tyaZUZ1cQ1M
81,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",19870,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
82,"Strip That Down","Liam Payne",19301,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
83,"There's Nothing Holdin' Me Back","Shawn Mendes",18902,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
84,"Say Something","Justin Timberlake",18726,https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS
85,จดหมาย,"The Toys",18404,https://open.spotify.com/track/2wgGM5bNyPTVI2d7KHmmRw
86,"Super Far",LANY,18349,https://open.spotify.com/track/74ODGXs4byLTRdnKGM4s6E
87,"Let You Down",NF,18204,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
88,"BBoom BBoom",MOMOLAND,18145,https://open.spotify.com/track/3BPoSr2pO34Aan6alFfVto
89,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",18106,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
90,Wait,"Maroon 5",18075,https://open.spotify.com/track/1Qg9jWGDkKAGZXj5v2OG59
91,"I Like Me Better",Lauv,18044,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
92,"ยังรู้สึก (Old Feeling)","Ink Waruntorn",17857,https://open.spotify.com/track/0ggTgd1SJIk539ZdC3LM6T
93,ก่อนฤดูฝน,"The Toys",17634,https://open.spotify.com/track/1oyYuiIundjUzgi0oyBNyB
94,สารภาพ,Playground,17504,https://open.spotify.com/track/4Gjl7Z9S2LZEnWLeqQh67K
95,Mama,"Jonas Blue",17349,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
96,เรื่องที่ขอ,Lula,17084,https://open.spotify.com/track/6ZDl7YLiNjey9VOdEM3pok
97,ครั้งหนึ่งไม่ถึงตาย,KLEAR,17008,https://open.spotify.com/track/1H0gOyCNo1NKWFmM8VMIeN
98,"Look Alive (feat. Drake)","BlocBoy JB",16446,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
99,"Black Panther","Kendrick Lamar",16339,https://open.spotify.com/track/5qN4HFkapdAOV94XPryVof
100,"As If It's Your Last",BLACKPINK,16319,https://open.spotify.com/track/1Zyd6zQnC6XIIzmg3hP7Ot
101,"피카부 Peek-A-Boo","Red Velvet",16226,https://open.spotify.com/track/42tFTth2jcF7iSo0RBjfJF
102,ขี้แพ้,UrboyTJ,16037,https://open.spotify.com/track/7naxCR8EDff39Uqr7UEEDg
103,ไวน์,"Max Jenmana",15984,https://open.spotify.com/track/00Hj710RrsLX5s9bothwlW
104,Silence,Marshmello,15652,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
105,"Stir Fry",Migos,15432,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
106,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",15378,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
107,"Say You Won't Let Go","James Arthur",15234,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
108,บทสุดท้าย,"BANKK CA$H",15186,https://open.spotify.com/track/0xpkfml0e404bgSA0C9U2T
109,"Miss You (with Major Lazer & Tory Lanez)","Cashmere Cat",15131,https://open.spotify.com/track/0as7lPxkBPctZ7uVmchRNM
110,เผด็จเกิร์ล,"Tattoo Colour",14816,https://open.spotify.com/track/6dnXdI7OhOJYvVjlT6pR03
111,"Dusk Till Dawn - Radio Edit",ZAYN,14542,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
112,Closer,"The Chainsmokers",14313,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
113,Photograph,"Ed Sheeran",14156,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
114,"A Different Way (with Lauv)","DJ Snake",14085,https://open.spotify.com/track/0Wv5wuenRLI3BcwgT3HPIP
115,แต่ยังคิดถึง,"Two Popetorn",13949,https://open.spotify.com/track/2d0fVk9SD8Ad0Njn8RSdsM
116,"Slow Hands","Niall Horan",13921,https://open.spotify.com/track/38yBBH2jacvDxrznF7h08J
117,"รู้ยัง - Acoustic Live Session","Ton Thanasit",13683,https://open.spotify.com/track/6ZKJbL6CkzpDDYeY2SPjeQ
118,"Stay With You","Cheat Codes",13588,https://open.spotify.com/track/7q8jJ1XZEliBakZSUMFde5
119,ลืมไปก่อน,"Buddha Bless",13452,https://open.spotify.com/track/6Rpj87GuuE59nij1NVmpzD
120,New,Daya,13389,https://open.spotify.com/track/7y4JznkAv2W3IKw9T1o2VK
121,DNA,BTS,13169,https://open.spotify.com/track/5SE57ljOIUJ1ybL9U6CuBH
122,"MIC Drop (feat. Desiigner) [Steve Aoki Remix]",BTS,13153,https://open.spotify.com/track/7Ed6BkggCS2KaKY5YlINaF
123,"Tip Toe (feat. French Montana)","Jason Derulo",13134,https://open.spotify.com/track/2z4pcBLQXF2BXKFvd0BuB6
124,"ที่รัก (เพลงประกอบละคร ชั่วโมงต้องมนต์)","TOR+ Saksit",13113,https://open.spotify.com/track/4gQ7b2PtqjIsZ2Bm8BvJzi
125,ขอโทษที่เป็นแบบนี้,"The Toys",13046,https://open.spotify.com/track/7uylAOouR2pzyM3yaUQpRp
126,PLEASE,"Atom Chanakan",12997,https://open.spotify.com/track/60hF3gZXQ33xdAXXk6tE1x
127,"Symphony (feat. Zara Larsson)","Clean Bandit",12977,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
128,"Nobody Compares To You",Gryffin,12971,https://open.spotify.com/track/0W363qrIc4GwuwOqa0WAEO
129,หัวร้อน,"Jazz Spooknickpapiyongkookkook",12935,https://open.spotify.com/track/6tzRbJNdVlD8sQRO0zv5lO
130,"Opps (with Yugen Blakrok)","Vince Staples",12894,https://open.spotify.com/track/7bUcBztfGqO7cSI2gMZeCI
131,ผู้ชมที่ดี,MEAN,12819,https://open.spotify.com/track/14ukOd1Rxw8Fi1pqmiNXMa
132,"That's What I Like","Bruno Mars",12813,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
133,"ผู้ต้องหา x Labanoon","Bird Thongchai",12757,https://open.spotify.com/track/3M5hDAO00lvsDE1sDBcUQW
134,Lullaby,R3HAB,12583,https://open.spotify.com/track/0DhkTGjEaIHaSxTfC14BFm
135,Energetic,"Wanna One",12553,https://open.spotify.com/track/3NkkcnnKrNHv4AiGaPdD76
136,Gashina,SUNMI,12502,https://open.spotify.com/track/0jFHMDRXxKaREor3hBEEST
137,"Spring Day",BTS,12441,https://open.spotify.com/track/0WNGsQ1oAuHzNTk8jivBKW
138,Dreamer,"Axwell /\ Ingrosso",12423,https://open.spotify.com/track/7hvxMYq9JW5W0vFwiu1Zdr
139,แก..,"Wan Thanakrit",12242,https://open.spotify.com/track/3eUWzObHm3X3Kg59D23J53
140,"High (& Dua Lipa)",Whethan,12165,https://open.spotify.com/track/7lAeknkZz0KCk2RmAZESHF
141,Restart,"Room 39",12109,https://open.spotify.com/track/1pjVBWRTyPG3WXlxTNYT3U
142,"My My My!","Troye Sivan",12099,https://open.spotify.com/track/2Tq2R8sRftNEqdgJK5HadO
143,ยังไม่รู้,"Better Weather",12076,https://open.spotify.com/track/2OQQPlUlrSKu2nOPMwTS2c
144,"ปล่อย (Miss)","Clockwork Motionless",12036,https://open.spotify.com/track/7ihijRsdyrrQQR2iwSdibF
145,"I Am","Jorja Smith",11997,https://open.spotify.com/track/0DJBgBiYeSn6n1AXAkFVE8
146,"Wild Love","James Bay",11952,https://open.spotify.com/track/6JnRLa50GuHzF0ucg9AGMI
147,แอบ,"Num KALA",11947,https://open.spotify.com/track/0Tuur5K2vAQ6N10W8vb0sU
148,"REALLY REALLY - KR ver.",WINNER,11933,https://open.spotify.com/track/4Ve8XzRxQcAMyFWgqITHFk
149,"End Game","Taylor Swift",11924,https://open.spotify.com/track/2x0WlnmfG39ZuDmstl9xfX
150,Beautiful,"Wanna One",11904,https://open.spotify.com/track/1H0zKZDwR19OGD3zKrwuTG
151,"365 วันกับเครื่องบินกระดาษ",BNK48,11865,https://open.spotify.com/track/2S7cWEBrDeiSd4LF7PfBoT
152,"빨간 맛 Red Flavor","Red Velvet",11834,https://open.spotify.com/track/7nKQ5WAcjnG48knyLuo8gO
153,พบกันใหม่,Polycat,11812,https://open.spotify.com/track/4IKn1t0eZZzF5mji1vraVI
154,กะทันหัน,"Fymme Bongkot",11687,https://open.spotify.com/track/71rZCPjOAU8WBlXYPHNgRu
155,เพื่อนรัก,"The Parkinson",11657,https://open.spotify.com/track/02ILnpL8IvIa9IQX7sSO9I
156,Paramedic!,"SOB X RBE",11645,https://open.spotify.com/track/2tPcTFiQF9MbVUyjZ3zDhA
157,"Redemption (with Babes Wodumo)",Zacari,11561,https://open.spotify.com/track/76iVOVsliCHlWqKuDnCfhE
