,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,ภาพจำ,"Pop Pongkool",105222,https://open.spotify.com/track/4YRpjJaJpiI36HM36Dn5lS
2,ถ้าฉันหายไป(Skyline),"Earth Patravee",79410,https://open.spotify.com/track/0goff2JabkZTEq1yKeyoM8
3,ออเจ้าเอย,"Pete Pol",74804,https://open.spotify.com/track/0vDO51gqh14Pq5gDdHBoKO
4,"Good Morning Teacher","Atom Chanakan",73104,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
5,"All The Stars (with SZA)","Kendrick Lamar",70545,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
6,04:00,"The Toys",69534,https://open.spotify.com/track/3h7TbK7x7yxJavEZydbOzX
7,นอนได้แล้ว,"Fukking Hero",66659,https://open.spotify.com/track/5JhLoyD2idGlKXwD9nmYuB
8,"อยู่ดีๆก็… (feat. Youngohm)",Wonderframe,65054,https://open.spotify.com/track/0b9JDLbAgCazIwPSWj6DNL
9,"The Middle",Zedd,64577,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
10,รู้ดีว่าไม่ดี,Getsunova,62561,https://open.spotify.com/track/37LAaRNSnB6b1T2ckX6VSk
11,วันหนึ่งฉันเดินเข้าป่า,"Max Jenmana",61579,https://open.spotify.com/track/46upHQ13xvw1y7ykEJpWU5
12,"555 (ToT)",Wonderframe,61368,https://open.spotify.com/track/5LcwUVWyRxuOfSawnKlbBV
13,FRIENDS,Marshmello,58856,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
14,IDGAF,"Dua Lipa",55843,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
15,"In My Blood","Shawn Mendes",55410,https://open.spotify.com/track/79jX8RM5CgPqDKdGEKNW9K
16,"พริบตา x STAMP","Bird Thongchai",55391,https://open.spotify.com/track/20Tl8mWZhryG75y3nqnlKE
17,คนที่ไม่ใช่,O-Pavee,55143,https://open.spotify.com/track/76rs0Apd4Ct5LwJm8pB6r1
18,"Psycho (feat. Ty Dolla $ign)","Post Malone",54139,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
19,เกลียด,"The Yers",53241,https://open.spotify.com/track/6iXBlrBFuV6W3jExGuWy6f
20,TOY,"The Toys",51679,https://open.spotify.com/track/2Es5K3EnKVXsGqU8PtZLEL
21,พอจะรู้,meyou.,47926,https://open.spotify.com/track/4p4SOBQ0fxHYluEcba6Xrq
22,Havana,"Camila Cabello",47864,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
23,"Done For Me (feat. Kehlani)","Charlie Puth",46731,https://open.spotify.com/track/76S09sHj7GGMJAtOLjmVQ2
24,"Galaxy (feat. Kob The X Factor)","D Gerrard",44864,https://open.spotify.com/track/0yO5RrszdEpqXhDwyhP6nX
25,อย่าบอก,"Atom Chanakan",44114,https://open.spotify.com/track/3CrDt4x72gWHaglwnM0CAH
26,"Paris in the Rain",Lauv,42998,https://open.spotify.com/track/0RGUIOZtmOXTWOy5EjvQbP
27,บุพเพสันนิวาส,"Ice Sarunyu",42928,https://open.spotify.com/track/4e3GY4mFmSfGitpEpA0GBA
