,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,ภาพจำ,"Pop Pongkool",108864,https://open.spotify.com/track/4YRpjJaJpiI36HM36Dn5lS
2,Shonichi,BNK48,83400,https://open.spotify.com/track/74sRRQQx5eRdYSA7eaBjvU
3,นอนได้แล้ว,"Fukking Hero",82491,https://open.spotify.com/track/5JhLoyD2idGlKXwD9nmYuB
4,ถ้าฉันหายไป(Skyline),"Earth Patravee",79329,https://open.spotify.com/track/0goff2JabkZTEq1yKeyoM8
5,"Good Morning Teacher","Atom Chanakan",72821,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
6,04:00,"The Toys",66334,https://open.spotify.com/track/3h7TbK7x7yxJavEZydbOzX
7,"All The Stars (with SZA)","Kendrick Lamar",65298,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
8,"อยู่ดีๆก็… (feat. Youngohm)",Wonderframe,63265,https://open.spotify.com/track/0b9JDLbAgCazIwPSWj6DNL
9,"555 (ToT)",Wonderframe,61814,https://open.spotify.com/track/5LcwUVWyRxuOfSawnKlbBV
10,"The Middle",Zedd,61770,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
11,รู้ดีว่าไม่ดี,Getsunova,59438,https://open.spotify.com/track/37LAaRNSnB6b1T2ckX6VSk
12,"In My Blood","Shawn Mendes",58655,https://open.spotify.com/track/79jX8RM5CgPqDKdGEKNW9K
13,คนที่ไม่ใช่,O-Pavee,57397,https://open.spotify.com/track/76rs0Apd4Ct5LwJm8pB6r1
14,วันหนึ่งฉันเดินเข้าป่า,"Max Jenmana",57118,https://open.spotify.com/track/46upHQ13xvw1y7ykEJpWU5
15,ออเจ้าเอย,"Pete Pol",56645,https://open.spotify.com/track/0vDO51gqh14Pq5gDdHBoKO
16,FRIENDS,Marshmello,54530,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
