,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"All The Stars (with SZA)","Kendrick Lamar",74516,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
2,04:00,"The Toys",67771,https://open.spotify.com/track/3h7TbK7x7yxJavEZydbOzX
3,ถ้าฉันหายไป(Skyline),"Earth Patravee",65391,https://open.spotify.com/track/0goff2JabkZTEq1yKeyoM8
4,"Good Morning Teacher","Atom Chanakan",63179,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
5,วันหนึ่งฉันเดินเข้าป่า,"Max Jenmana",60753,https://open.spotify.com/track/46upHQ13xvw1y7ykEJpWU5
6,"Psycho (feat. Ty Dolla $ign)","Post Malone",60714,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
7,"อยู่ดีๆก็… (feat. Youngohm)",Wonderframe,59179,https://open.spotify.com/track/0b9JDLbAgCazIwPSWj6DNL
8,"The Middle",Zedd,57775,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
9,รู้ดีว่าไม่ดี,Getsunova,55605,https://open.spotify.com/track/37LAaRNSnB6b1T2ckX6VSk
10,FRIENDS,Marshmello,54852,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
11,"Koisuru Fortune Cookie คุกกี้เสี่ยงทาย",BNK48,54408,https://open.spotify.com/track/5OzKApzqDkOVg4P5jQlD8J
12,IDGAF,"Dua Lipa",54296,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
13,"Pray For Me (with Kendrick Lamar)","The Weeknd",53215,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
14,TOY,"The Toys",52617,https://open.spotify.com/track/2Es5K3EnKVXsGqU8PtZLEL
15,อย่าบอก,"Atom Chanakan",48736,https://open.spotify.com/track/3CrDt4x72gWHaglwnM0CAH
16,"พริบตา x STAMP","Bird Thongchai",48657,https://open.spotify.com/track/20Tl8mWZhryG75y3nqnlKE
17,เกลียด,"The Yers",48421,https://open.spotify.com/track/6iXBlrBFuV6W3jExGuWy6f
18,พอจะรู้,meyou.,47763,https://open.spotify.com/track/4p4SOBQ0fxHYluEcba6Xrq
19,"God's Plan",Drake,45731,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
20,"Never Be the Same","Camila Cabello",45041,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
21,Havana,"Camila Cabello",45023,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
22,ภาพจำ,"Pop Pongkool",44791,https://open.spotify.com/track/4YRpjJaJpiI36HM36Dn5lS
23,ที่เก่า,"Marc Tatchapon",44207,https://open.spotify.com/track/0xBShp4NOIh5ChC55Xj0zz
24,"Galaxy (feat. Kob The X Factor)","D Gerrard",43222,https://open.spotify.com/track/0yO5RrszdEpqXhDwyhP6nX
25,Wolves,"Selena Gomez",42319,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
26,"Capital Letters","Hailee Steinfeld",40875,https://open.spotify.com/track/3towKHKVOXCCcL1fHv6xFO
27,"Paris in the Rain",Lauv,38772,https://open.spotify.com/track/0RGUIOZtmOXTWOy5EjvQbP
28,ผู้ช่วยที่ดีที่สุด,Polycat,37409,https://open.spotify.com/track/6dZzTJXuTR2WWtGOvHutOU
29,"Love Lies (with Normani)",Khalid,37254,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
30,Mine,Bazzi,37050,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
31,"กว่าจักรวาล x Atom","Bird Thongchai",36992,https://open.spotify.com/track/2Akqcxo6AiquGYFcS5dmvT
32,Perfect,"Ed Sheeran",35723,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
33,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",33816,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
34,"Too Good At Goodbyes","Sam Smith",33737,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
35,"นี่แหละความรัก (This is Love)","Peck Palitchoke",33445,https://open.spotify.com/track/13jEKU2J3JJPe3tpo8p4vY
36,ถอย,Gliss,33278,https://open.spotify.com/track/3nJlzw6Gn33fitnoxJtLSj
37,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,32722,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
38,"จังหวะจะรัก - From “Heartbeat” Original Soundtrack","Violette Wautier",31898,https://open.spotify.com/track/1ux0god9zERqovPLrzRdBT
39,ฝืนตัวเองไม่เป็น,"Non Tanon",31541,https://open.spotify.com/track/0FlZM6SFefxfXzX68IpVxb
40,พอ,"Atom Chanakan",30956,https://open.spotify.com/track/72KOmS4Af9IEFsT87TK1VQ
41,"Bad Boy","Red Velvet",30827,https://open.spotify.com/track/5GKwq4sO5ZHKuWaDmdwMQc
42,"All Falls Down (feat. Juliander)","Alan Walker",29386,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
43,ถอนหายใจ,Mild,29270,https://open.spotify.com/track/1rve7sIFz7JVxwfrisKyP3
44,อย่าร้องไห้,"Singto Numchok",28791,https://open.spotify.com/track/0S741gpnPQORvndXqMkGNX
45,"Getting Over You",Lauv,28025,https://open.spotify.com/track/2BNkTvg1kHAAfGvqh56x5a
46,Thunder,"Imagine Dragons",28010,https://open.spotify.com/track/26gceVsA1ybT8qsX3aYLEn
47,"For You (Fifty Shades Freed) (& Rita Ora)","Liam Payne",27825,https://open.spotify.com/track/5hM6sP0Gh1jD57drszNueC
48,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",27695,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
