,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"บอกตัวเอง (feat. โป่ง หินเหล็กไฟ)","Room 39",102511,https://open.spotify.com/track/3WQe3r4R1lnJs75ty9UYDF
2,ภาพจำ,"Pop Pongkool",98535,https://open.spotify.com/track/4YRpjJaJpiI36HM36Dn5lS
3,นอนได้แล้ว,"Fukking Hero",91973,https://open.spotify.com/track/5JhLoyD2idGlKXwD9nmYuB
4,"Girls Like You (feat. Cardi B)","Maroon 5",86468,https://open.spotify.com/track/6FRLCMO5TUHTexlWo8ym1W
5,หมอกร้าย,Lipta,83735,https://open.spotify.com/track/0EYgFMIXhjcFgX6xe2NY9v
6,"Back To You","Selena Gomez",83127,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
7,ถ้าเธอต้องเลือก,Illslick,78974,https://open.spotify.com/track/5Of65kRDivh4UHG3SG5Iad
8,"Good Morning Teacher","Atom Chanakan",76003,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
9,แอบบอกรัก,Jaonaay,72740,https://open.spotify.com/track/1xJP5BQBwQRl59B6EGcujF
10,ถ้าฉันหายไป(Skyline),"Earth Patravee",72317,https://open.spotify.com/track/0goff2JabkZTEq1yKeyoM8
11,คนที่ไม่ใช่,O-Pavee,69609,https://open.spotify.com/track/76rs0Apd4Ct5LwJm8pB6r1
12,"Better Now","Post Malone",69403,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
13,"Day 1 ◑",HONNE,68738,https://open.spotify.com/track/7AWZvcyaSBxRzaBJcHf9XL
14,2002,Anne-Marie,66375,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
15,"no tears left to cry","Ariana Grande",62482,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
16,Youngblood,"5 Seconds of Summer",56620,https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw
17,กำลังจะ,Illslick,56387,https://open.spotify.com/track/18kwPdB3Bx8n9Mk4YsO6LT
18,"คิดถึงจัง (มาหาหน่อย)","Oat Pramote",56140,https://open.spotify.com/track/63quSq4p0NagZdZI3ttb4f
19,04:00,"The Toys",54313,https://open.spotify.com/track/3h7TbK7x7yxJavEZydbOzX
20,"Strawberries & Cigarettes","Troye Sivan",53432,https://open.spotify.com/track/2z7UKVsBdbA7HFPunDKDP4
21,"FAKE LOVE",BTS,52827,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
22,พอจะรู้,meyou.,52774,https://open.spotify.com/track/4p4SOBQ0fxHYluEcba6Xrq
23,"Solo (feat. Demi Lovato)","Clean Bandit",52232,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
24,ร้อยล้านวิว,Stamp,51500,https://open.spotify.com/track/2KKwNFzypGehPrAZCKc1HW
25,"Galaxy (feat. Kob The X Factor)","D Gerrard",50835,https://open.spotify.com/track/0yO5RrszdEpqXhDwyhP6nX
26,โสดทัศนศึกษา,"Wan Thanakrit",49275,https://open.spotify.com/track/0ey6V8DFsfMk3y8BQNeKhu
27,"อยู่ดีๆก็… (feat. Youngohm)",Wonderframe,49093,https://open.spotify.com/track/0b9JDLbAgCazIwPSWj6DNL
28,"New Light","John Mayer",49079,https://open.spotify.com/track/3bH4HzoZZFq8UpZmI2AMgV
29,"Let Me",ZAYN,48340,https://open.spotify.com/track/7Fg342AJtNsIDdwCfX0paC
30,ผิดที่ฉัน,60Miles,48325,https://open.spotify.com/track/65SM4x81LohlqhSVFqITWd
31,"lovely (with Khalid)","Billie Eilish",46847,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
32,รู้ดีว่าไม่ดี,Getsunova,46471,https://open.spotify.com/track/37LAaRNSnB6b1T2ckX6VSk
33,Entertainer,ZAYN,46378,https://open.spotify.com/track/5LTGmestwpHZ1BfCmpFQJx
34,"One Kiss (with Dua Lipa)","Calvin Harris",44648,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
35,Somebody,"The Chainsmokers",43910,https://open.spotify.com/track/3pWcj8hxj3fsb9TDAcMpEl
36,"The Middle",Zedd,42336,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
37,Patient,"Charlie Puth",41659,https://open.spotify.com/track/2ZrHbO88rM6Ijeg0aJmSzl
38,เกลียด,"The Yers",39167,https://open.spotify.com/track/6iXBlrBFuV6W3jExGuWy6f
39,FRIENDS,Marshmello,38945,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
40,"Psycho (feat. Ty Dolla $ign)","Post Malone",38579,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
41,ไม่มีเธอไม่ตาย,"Gam Wichayanee",38196,https://open.spotify.com/track/6mUclBcqOp65gflMeu2UWR
42,"ดีต่อใจ (To Get Her)",Mild,37700,https://open.spotify.com/track/6i5S9ngfta3qDP6zP5PG7k
43,"ของขวัญ - Cover Version","The Toys",37556,https://open.spotify.com/track/72bifeUJaxwOtGjGiVqAeB
44,"LOVE SCENARIO",iKON,37071,https://open.spotify.com/track/6qAzAmPBUpGrk7XADZHR5k
45,ไม่เหมือนใคร,"D Gerrard",35739,https://open.spotify.com/track/39Mg8slCqS2tyaZUZ1cQ1M
46,"Bye Bye",P-Hot,35547,https://open.spotify.com/track/08oX4H0Td1Fza9eBXzmojN
47,IDGAF,"Dua Lipa",34901,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
48,"All The Stars (with SZA)","Kendrick Lamar",34756,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
49,Flower,"Twopee Southside",34552,https://open.spotify.com/track/3Z1A584gUX1pxdlG3Oo8WT
50,"Youth feat. Khalid","Shawn Mendes",33071,https://open.spotify.com/track/5SwEgzUFDHwpWHKrbnP32Z
51,"I Like It","Cardi B",32650,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
52,OTW,Khalid,31921,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
53,"In My Blood","Shawn Mendes",31800,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
54,Bracelet,Lauv,31735,https://open.spotify.com/track/5WAD7GRAHPQUy9Il1hM7wL
55,"Done For Me (feat. Kehlani)","Charlie Puth",31511,https://open.spotify.com/track/1lsBTdE6MGsKeZCD6llNu7
56,ฝันหวานอายจูบ,Stamp,30598,https://open.spotify.com/track/10DSYghyBjAYJa8iCvdRDv
57,"All Mine","Kanye West",30487,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
58,มะงึกๆอุ๋งๆ,"Ornly You",30393,https://open.spotify.com/track/3Wz7m9QeE8EAfpg98uxhRk
59,Nervous,"Shawn Mendes",30377,https://open.spotify.com/track/0Dq49j3dELbttQVUJbtn0c
60,Rise,"Jonas Blue",30368,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
61,"Me & You ◑",HONNE,30162,https://open.spotify.com/track/2mDeWOqdFJLV2zsrTCPG0T
62,"Start Again (feat. Logic)",OneRepublic,29177,https://open.spotify.com/track/1Nj2oBISdFDSF8eDuXcALz
63,ฝืนตัวเองไม่เป็น,"Non Tanon",28572,https://open.spotify.com/track/0FlZM6SFefxfXzX68IpVxb
64,TOY,"The Toys",28508,https://open.spotify.com/track/2Es5K3EnKVXsGqU8PtZLEL
65,ที่เก่า,"Marc Tatchapon",27646,https://open.spotify.com/track/0xBShp4NOIh5ChC55Xj0zz
66,"Never Not",Lauv,27539,https://open.spotify.com/track/4fFfyouye6vrX9o9z4PVMu
67,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)","Rita Ora",27534,https://open.spotify.com/track/1YNQscOx6OqBQjxgJVhEeW
