,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,อาวรณ์,Polycat,156906,https://open.spotify.com/track/2USX969yFQ250hBULh6Ope
2,มีผลต่อหัวใจ,"Non Tanon",106388,https://open.spotify.com/track/6LxsOkPSGBOsPhDKFAgYVM
3,"บอกตัวเอง (feat. โป่ง หินเหล็กไฟ)","Room 39",103852,https://open.spotify.com/track/3WQe3r4R1lnJs75ty9UYDF
4,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,102771,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
5,หมอกร้าย,Lipta,101926,https://open.spotify.com/track/0EYgFMIXhjcFgX6xe2NY9v
6,ภาพจำ,"Pop Pongkool",93427,https://open.spotify.com/track/4YRpjJaJpiI36HM36Dn5lS
7,IDOL,BTS,90951,https://open.spotify.com/track/03iCbZaM4OkRR4We6wIzvx
8,"In My Feelings",Drake,89521,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
9,"ภูเขาบังเส้นผม feat. TWOPEE",Stamp,89061,https://open.spotify.com/track/5kHLmBd3GTMIFhWdD3berA
10,ความเงียบดังที่สุด,Getsunova,88434,https://open.spotify.com/track/49o9ToewyZywgB5KlaB3WN
11,คนที่ไม่ใช่,O-Pavee,84109,https://open.spotify.com/track/76rs0Apd4Ct5LwJm8pB6r1
12,"Girls Like You (feat. Cardi B)","Maroon 5",81545,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
13,"Good Luck feat. Maiyarap",Lipta,79857,https://open.spotify.com/track/3tMbwbZpYXGHeg0l45m7Tv
14,breathin,"Ariana Grande",78249,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
15,นอนได้แล้ว,"Fukking Hero",75798,https://open.spotify.com/track/5JhLoyD2idGlKXwD9nmYuB
16,ถ้าเธอต้องเลือก,Illslick,75412,https://open.spotify.com/track/5Of65kRDivh4UHG3SG5Iad
17,IDOL,BTS,74659,https://open.spotify.com/track/2AIWoHr9DF6y4KALCBKWQS
18,ขอโทษ,"Burin Boonvisut",73751,https://open.spotify.com/track/6sCQmOY5k4BcjONYyVccaz
19,"Good Morning Teacher","Atom Chanakan",72337,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
20,หากวันนั้น,"Room 39",69537,https://open.spotify.com/track/4hy03eg0PksOEJraNfqb1O
21,"Day 1 ◑",HONNE,67055,https://open.spotify.com/track/6ZzYETKetIfNUsZUb23jgG
22,"FOREVER YOUNG - KR Ver.",BLACKPINK,66441,https://open.spotify.com/track/57Enap29zKl7NGRdDJjkjA
23,วิชาตัวเบา,Bodyslam,65676,https://open.spotify.com/track/2j2NeZZJ0STZQy5Aw3oZLL
24,"No Brainer","DJ Khaled",61778,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
25,"Beautiful (feat. Camila Cabello)",Bazzi,60848,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
26,กำลังจะ,Illslick,60786,https://open.spotify.com/track/18kwPdB3Bx8n9Mk4YsO6LT
27,"Trivia 轉 : Seesaw",BTS,60742,https://open.spotify.com/track/1ZPpGPko8oULTmi34rozMh
28,สมดั่งใจ,"Ammy The Bottom Blues",58612,https://open.spotify.com/track/0r8b4o2jSmUG7vF2BojYlv
29,"Eastside (with Halsey & Khalid)","benny blanco",58559,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
30,พอจะรู้,meyou.,56124,https://open.spotify.com/track/4p4SOBQ0fxHYluEcba6Xrq
31,Euphoria,BTS,55876,https://open.spotify.com/track/3p6hnejEQYXkiTO1lAzVc0
32,ถ้าฉันหายไป(Skyline),"Earth Patravee",54871,https://open.spotify.com/track/0goff2JabkZTEq1yKeyoM8
33,"Promises (with Sam Smith)","Calvin Harris",54774,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
34,"Galaxy (feat. Kob The X Factor)","D Gerrard",54056,https://open.spotify.com/track/0yO5RrszdEpqXhDwyhP6nX
35,"God is a woman","Ariana Grande",51996,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
36,เท่าไหร่ไม่จำ,Potato,51900,https://open.spotify.com/track/5zRMhQ21pWGN0rPxAS4QkI
37,2002,Anne-Marie,49926,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
38,"KILLING ME",iKON,49853,https://open.spotify.com/track/27kB4qLUCV8nZd2eOgj1Tk
39,"I'm Fine",BTS,49677,https://open.spotify.com/track/0EQMrxdeiBhry9JCxskko3
40,"Power Up","Red Velvet",49198,https://open.spotify.com/track/381g0b6QZxC13SzA2HRMIc
41,Happier,Marshmello,49096,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
42,ก็ดี..,Ironboy,48529,https://open.spotify.com/track/1KlpMWDwKBA0HTysXfvjjh
43,ใจเย็น,Image,48371,https://open.spotify.com/track/5HoTeTzdfAataCZ0piQyAv
