,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"นี่แหละความรัก (This is Love)","Peck Palitchoke",80403,https://open.spotify.com/track/13jEKU2J3JJPe3tpo8p4vY
2,"Koisuru Fortune Cookie คุกกี้เสี่ยงทาย",BNK48,66043,https://open.spotify.com/track/5OzKApzqDkOVg4P5jQlD8J
3,Havana,"Camila Cabello",62524,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
4,Perfect,"Ed Sheeran",56374,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
5,"Too Good At Goodbyes","Sam Smith",55292,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
6,อย่าบอก,"Atom Chanakan",54631,https://open.spotify.com/track/3CrDt4x72gWHaglwnM0CAH
7,Wolves,"Selena Gomez",54599,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
8,"What Lovers Do (feat. SZA)","Maroon 5",50817,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
9,"พริบตา x STAMP","Bird Thongchai",48877,https://open.spotify.com/track/4teedU9O1HNw0jMR1VzNev
10,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",48228,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
11,"New Rules","Dua Lipa",46734,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
12,"How Long","Charlie Puth",46645,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
13,"อยู่ดีๆก็… (feat. Youngohm)",Wonderframe,46359,https://open.spotify.com/track/0b9JDLbAgCazIwPSWj6DNL
14,"Shape of You","Ed Sheeran",42828,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
15,"Good Morning Teacher","Atom Chanakan",41536,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
16,"Him & I (with Halsey)",G-Eazy,40732,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
17,รักตัวเอง,"Room 39",38865,https://open.spotify.com/track/46Uqy57KyAT7xBz6BIqdB3
18,"จังหวะจะรัก - From “Heartbeat” Original Soundtrack","Violette Wautier",37541,https://open.spotify.com/track/1ux0god9zERqovPLrzRdBT
19,"Dusk Till Dawn - Radio Edit",ZAYN,37043,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
20,"Paris in the Rain",Lauv,35709,https://open.spotify.com/track/0RGUIOZtmOXTWOy5EjvQbP
21,"Young Dumb & Broke",Khalid,35096,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
22,"MIC Drop (feat. Desiigner) [Steve Aoki Remix]",BTS,34135,https://open.spotify.com/track/7Ed6BkggCS2KaKY5YlINaF
23,Thunder,"Imagine Dragons",33385,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
24,หน้าหนาวที่แล้ว,"The Toys",32410,https://open.spotify.com/track/5mVeBv0bUZPJU7kPZcm594
25,"All Falls Down (feat. Juliander)","Alan Walker",32168,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
26,"River (feat. Ed Sheeran)",Eminem,31572,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
27,rockstar,"Post Malone",30867,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
