,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,ภาพจำ,"Pop Pongkool",95710,https://open.spotify.com/track/4YRpjJaJpiI36HM36Dn5lS
2,"FAKE LOVE",BTS,91889,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
3,นอนได้แล้ว,"Fukking Hero",83240,https://open.spotify.com/track/5JhLoyD2idGlKXwD9nmYuB
4,"บอกตัวเอง (feat. โป่ง หินเหล็กไฟ)","Room 39",80955,https://open.spotify.com/track/3WQe3r4R1lnJs75ty9UYDF
5,"Good Morning Teacher","Atom Chanakan",77599,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
6,แอบบอกรัก,Jaonaay,71802,https://open.spotify.com/track/1xJP5BQBwQRl59B6EGcujF
7,หมอกร้าย,Lipta,71713,https://open.spotify.com/track/0EYgFMIXhjcFgX6xe2NY9v
8,ถ้าฉันหายไป(Skyline),"Earth Patravee",69136,https://open.spotify.com/track/0goff2JabkZTEq1yKeyoM8
9,คนที่ไม่ใช่,O-Pavee,67469,https://open.spotify.com/track/76rs0Apd4Ct5LwJm8pB6r1
10,"Day 1 ◑",HONNE,65019,https://open.spotify.com/track/7AWZvcyaSBxRzaBJcHf9XL
11,"no tears left to cry","Ariana Grande",63917,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
12,"Back To You","Selena Gomez",58289,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
13,"Better Now","Post Malone",54170,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
14,"Let Me",ZAYN,53399,https://open.spotify.com/track/7Fg342AJtNsIDdwCfX0paC
15,"Strawberries & Cigarettes","Troye Sivan",53174,https://open.spotify.com/track/2z7UKVsBdbA7HFPunDKDP4
16,04:00,"The Toys",53152,https://open.spotify.com/track/3h7TbK7x7yxJavEZydbOzX
17,"คิดถึงจัง (มาหาหน่อย)","Oat Pramote",51856,https://open.spotify.com/track/63quSq4p0NagZdZI3ttb4f
18,2002,Anne-Marie,51519,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
19,"อยู่ดีๆก็… (feat. Youngohm)",Wonderframe,50968,https://open.spotify.com/track/0b9JDLbAgCazIwPSWj6DNL
20,ร้อยล้านวิว,Stamp,50718,https://open.spotify.com/track/2KKwNFzypGehPrAZCKc1HW
21,ผิดที่ฉัน,60Miles,47438,https://open.spotify.com/track/65SM4x81LohlqhSVFqITWd
22,"The Middle",Zedd,47402,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
23,"One Kiss (with Dua Lipa)","Calvin Harris",47164,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
24,รู้ดีว่าไม่ดี,Getsunova,47034,https://open.spotify.com/track/37LAaRNSnB6b1T2ckX6VSk
25,"Galaxy (feat. Kob The X Factor)","D Gerrard",46318,https://open.spotify.com/track/0yO5RrszdEpqXhDwyhP6nX
26,พอจะรู้,meyou.,45629,https://open.spotify.com/track/4p4SOBQ0fxHYluEcba6Xrq
27,Somebody,"The Chainsmokers",44746,https://open.spotify.com/track/3pWcj8hxj3fsb9TDAcMpEl
28,FRIENDS,Marshmello,43738,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
29,"The Truth Untold",BTS,42888,https://open.spotify.com/track/48XfojJC87VKLlUotYV0Gm
30,Patient,"Charlie Puth",42733,https://open.spotify.com/track/2ZrHbO88rM6Ijeg0aJmSzl
31,ถ้าเธอต้องเลือก,Illslick,42691,https://open.spotify.com/track/5Of65kRDivh4UHG3SG5Iad
32,"Where Were You In The Morning?","Shawn Mendes",42164,https://open.spotify.com/track/51wrmElSLxFzc0vSQPeTxs
33,"In My Blood","Shawn Mendes",41828,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
34,เกลียด,"The Yers",39668,https://open.spotify.com/track/6iXBlrBFuV6W3jExGuWy6f
35,"Psycho (feat. Ty Dolla $ign)","Post Malone",39349,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
36,"ของขวัญ - Cover Version","The Toys",39213,https://open.spotify.com/track/72bifeUJaxwOtGjGiVqAeB
37,Entertainer,ZAYN,37792,https://open.spotify.com/track/5LTGmestwpHZ1BfCmpFQJx
38,"Done For Me (feat. Kehlani)","Charlie Puth",37768,https://open.spotify.com/track/1lsBTdE6MGsKeZCD6llNu7
39,"All The Stars (with SZA)","Kendrick Lamar",37407,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
40,"Airplane pt.2",BTS,37007,https://open.spotify.com/track/1trFxVLL8WKhYap543e74l
