,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,อาวรณ์,Polycat,156691,https://open.spotify.com/track/2USX969yFQ250hBULh6Ope
2,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,120083,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
3,"In My Feelings",Drake,116407,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
4,"บอกตัวเอง (feat. โป่ง หินเหล็กไฟ)","Room 39",110038,https://open.spotify.com/track/3WQe3r4R1lnJs75ty9UYDF
5,หมอกร้าย,Lipta,104180,https://open.spotify.com/track/0EYgFMIXhjcFgX6xe2NY9v
6,มีผลต่อหัวใจ,"Non Tanon",102083,https://open.spotify.com/track/6LxsOkPSGBOsPhDKFAgYVM
7,ภาพจำ,"Pop Pongkool",97288,https://open.spotify.com/track/4YRpjJaJpiI36HM36Dn5lS
8,"Girls Like You (feat. Cardi B)","Maroon 5",84560,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
9,วิชาตัวเบา,Bodyslam,84456,https://open.spotify.com/track/2j2NeZZJ0STZQy5Aw3oZLL
10,"Good Luck feat. Maiyarap",Lipta,83037,https://open.spotify.com/track/3tMbwbZpYXGHeg0l45m7Tv
11,ความเงียบดังที่สุด,Getsunova,82189,https://open.spotify.com/track/49o9ToewyZywgB5KlaB3WN
12,คนที่ไม่ใช่,O-Pavee,82033,https://open.spotify.com/track/76rs0Apd4Ct5LwJm8pB6r1
13,ถ้าเธอต้องเลือก,Illslick,81872,https://open.spotify.com/track/5Of65kRDivh4UHG3SG5Iad
14,"Power Up","Red Velvet",81668,https://open.spotify.com/track/381g0b6QZxC13SzA2HRMIc
15,นอนได้แล้ว,"Fukking Hero",79030,https://open.spotify.com/track/5JhLoyD2idGlKXwD9nmYuB
16,"FOREVER YOUNG - KR Ver.",BLACKPINK,78122,https://open.spotify.com/track/57Enap29zKl7NGRdDJjkjA
17,ขอโทษ,"Burin Boonvisut",76250,https://open.spotify.com/track/6sCQmOY5k4BcjONYyVccaz
18,"Good Morning Teacher","Atom Chanakan",74954,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
19,"No Brainer","DJ Khaled",72329,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
20,หากวันนั้น,"Room 39",71542,https://open.spotify.com/track/4hy03eg0PksOEJraNfqb1O
21,ใจเย็นเย็น,Clash,69204,https://open.spotify.com/track/16alky6DYKkpbkKOtAtzTU
22,"Beautiful (feat. Camila Cabello)",Bazzi,66847,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
