,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,ภาพจำ,"Pop Pongkool",94385,https://open.spotify.com/track/4YRpjJaJpiI36HM36Dn5lS
2,"บอกตัวเอง (feat. โป่ง หินเหล็กไฟ)","Room 39",89779,https://open.spotify.com/track/3WQe3r4R1lnJs75ty9UYDF
3,นอนได้แล้ว,"Fukking Hero",81602,https://open.spotify.com/track/5JhLoyD2idGlKXwD9nmYuB
4,"Good Morning Teacher","Atom Chanakan",75449,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
5,แอบบอกรัก,Jaonaay,72885,https://open.spotify.com/track/1xJP5BQBwQRl59B6EGcujF
6,หมอกร้าย,Lipta,72156,https://open.spotify.com/track/0EYgFMIXhjcFgX6xe2NY9v
7,ถ้าฉันหายไป(Skyline),"Earth Patravee",69851,https://open.spotify.com/track/0goff2JabkZTEq1yKeyoM8
8,ถ้าเธอต้องเลือก,Illslick,66471,https://open.spotify.com/track/5Of65kRDivh4UHG3SG5Iad
9,"Back To You","Selena Gomez",65753,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
10,คนที่ไม่ใช่,O-Pavee,65516,https://open.spotify.com/track/76rs0Apd4Ct5LwJm8pB6r1
11,"FAKE LOVE",BTS,64048,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
12,"Day 1 ◑",HONNE,62312,https://open.spotify.com/track/7AWZvcyaSBxRzaBJcHf9XL
13,"no tears left to cry","Ariana Grande",60061,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
14,2002,Anne-Marie,58263,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
15,"Better Now","Post Malone",57040,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
16,"Strawberries & Cigarettes","Troye Sivan",56762,https://open.spotify.com/track/2z7UKVsBdbA7HFPunDKDP4
17,04:00,"The Toys",52719,https://open.spotify.com/track/3h7TbK7x7yxJavEZydbOzX
18,"คิดถึงจัง (มาหาหน่อย)","Oat Pramote",51746,https://open.spotify.com/track/63quSq4p0NagZdZI3ttb4f
19,"Let Me",ZAYN,49659,https://open.spotify.com/track/7Fg342AJtNsIDdwCfX0paC
20,"อยู่ดีๆก็… (feat. Youngohm)",Wonderframe,49546,https://open.spotify.com/track/0b9JDLbAgCazIwPSWj6DNL
21,ร้อยล้านวิว,Stamp,49543,https://open.spotify.com/track/2KKwNFzypGehPrAZCKc1HW
22,Entertainer,ZAYN,49489,https://open.spotify.com/track/5LTGmestwpHZ1BfCmpFQJx
23,"Girls Like You (feat. Cardi B)","Maroon 5",49366,https://open.spotify.com/track/6FRLCMO5TUHTexlWo8ym1W
24,พอจะรู้,meyou.,48661,https://open.spotify.com/track/4p4SOBQ0fxHYluEcba6Xrq
25,ผิดที่ฉัน,60Miles,47905,https://open.spotify.com/track/65SM4x81LohlqhSVFqITWd
26,"Galaxy (feat. Kob The X Factor)","D Gerrard",46445,https://open.spotify.com/track/0yO5RrszdEpqXhDwyhP6nX
27,"One Kiss (with Dua Lipa)","Calvin Harris",45791,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
28,รู้ดีว่าไม่ดี,Getsunova,45335,https://open.spotify.com/track/37LAaRNSnB6b1T2ckX6VSk
29,"The Middle",Zedd,44057,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
30,"New Light","John Mayer",43783,https://open.spotify.com/track/3bH4HzoZZFq8UpZmI2AMgV
31,Patient,"Charlie Puth",43615,https://open.spotify.com/track/2ZrHbO88rM6Ijeg0aJmSzl
32,FRIENDS,Marshmello,43377,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
33,Somebody,"The Chainsmokers",43139,https://open.spotify.com/track/3pWcj8hxj3fsb9TDAcMpEl
34,Bracelet,Lauv,41809,https://open.spotify.com/track/5WAD7GRAHPQUy9Il1hM7wL
35,"Psycho (feat. Ty Dolla $ign)","Post Malone",39726,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
36,โสดทัศนศึกษา,"Wan Thanakrit",38599,https://open.spotify.com/track/0ey6V8DFsfMk3y8BQNeKhu
37,เกลียด,"The Yers",38457,https://open.spotify.com/track/6iXBlrBFuV6W3jExGuWy6f
38,"ดีต่อใจ (To Get Her)",Mild,38439,https://open.spotify.com/track/6i5S9ngfta3qDP6zP5PG7k
39,"In My Blood","Shawn Mendes",38216,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
40,"ของขวัญ - Cover Version","The Toys",37869,https://open.spotify.com/track/72bifeUJaxwOtGjGiVqAeB
41,Youngblood,"5 Seconds of Summer",36702,https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw
42,Nervous,"Shawn Mendes",35832,https://open.spotify.com/track/0Dq49j3dELbttQVUJbtn0c
43,"Done For Me (feat. Kehlani)","Charlie Puth",35253,https://open.spotify.com/track/1lsBTdE6MGsKeZCD6llNu7
44,IDGAF,"Dua Lipa",35195,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
45,"Youth feat. Khalid","Shawn Mendes",35108,https://open.spotify.com/track/5SwEgzUFDHwpWHKrbnP32Z
46,"All The Stars (with SZA)","Kendrick Lamar",35093,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
47,"LOVE SCENARIO",iKON,34459,https://open.spotify.com/track/6qAzAmPBUpGrk7XADZHR5k
48,"Solo (feat. Demi Lovato)","Clean Bandit",34307,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
49,OTW,Khalid,33647,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
50,"lovely (with Khalid)","Billie Eilish",33601,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
51,ไม่เหมือนใคร,"D Gerrard",32753,https://open.spotify.com/track/39Mg8slCqS2tyaZUZ1cQ1M
52,ฝันหวานอายจูบ,Stamp,30895,https://open.spotify.com/track/10DSYghyBjAYJa8iCvdRDv
53,TOY,"The Toys",29776,https://open.spotify.com/track/2Es5K3EnKVXsGqU8PtZLEL
54,อย่าเลย...อย่า(ทรมาน),"Moving and Cut",29083,https://open.spotify.com/track/5tMVqeydIb4NWI1o2cHoYT
55,"Me & You ◑",HONNE,28874,https://open.spotify.com/track/2mDeWOqdFJLV2zsrTCPG0T
56,ฝืนตัวเองไม่เป็น,"Non Tanon",28791,https://open.spotify.com/track/0FlZM6SFefxfXzX68IpVxb
57,ที่เก่า,"Marc Tatchapon",28572,https://open.spotify.com/track/0xBShp4NOIh5ChC55Xj0zz
58,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)","Rita Ora",28454,https://open.spotify.com/track/1YNQscOx6OqBQjxgJVhEeW
59,อย่าบอก,"Atom Chanakan",28231,https://open.spotify.com/track/3CrDt4x72gWHaglwnM0CAH
60,"Baby Don’t Stop",NCT,27881,https://open.spotify.com/track/1EYSS9Lp7a9f20C3FaOVgI
61,"The Truth Untold",BTS,27741,https://open.spotify.com/track/48XfojJC87VKLlUotYV0Gm
62,"This Is America","Childish Gambino",27124,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
63,"Where Were You In The Morning?","Shawn Mendes",27044,https://open.spotify.com/track/51wrmElSLxFzc0vSQPeTxs
64,พอ,"Atom Chanakan",26674,https://open.spotify.com/track/72KOmS4Af9IEFsT87TK1VQ
65,"Love Lies (with Normani)",Khalid,26238,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
66,สามฤดู,Atip,26055,https://open.spotify.com/track/0wjdbi2kW1Tf3T8KibW4FH
67,"Airplane pt.2",BTS,25853,https://open.spotify.com/track/1trFxVLL8WKhYap543e74l
68,"รักน้องคนเดียวววว - เพลงประกอบภาพยนตร์ น้อง.พี่.ที่รัก",UrboyTJ,25834,https://open.spotify.com/track/1vYMSUrfHxmF4r5zPtdqEe
69,มะงึกๆอุ๋งๆ,"Ornly You",25817,https://open.spotify.com/track/3Wz7m9QeE8EAfpg98uxhRk
70,Rise,"Jonas Blue",25757,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
71,"Never Not",Lauv,25170,https://open.spotify.com/track/4fFfyouye6vrX9o9z4PVMu
72,ฝันฤดูร้อน,"The Toys",25018,https://open.spotify.com/track/03UCygRxVwn1CyFEA7fiTV
73,"Give Yourself A Try","The 1975",24780,https://open.spotify.com/track/619pVMIK3WvX529JIkQTY3
74,Havana,"Camila Cabello",24541,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
75,เจ็บจนไม่เข้าใจ,PORTRAIT,24499,https://open.spotify.com/track/4URCEQmgwuwaHiySIqGmIa
76,Flames,"David Guetta",23950,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
77,"Young Dumb & Broke",Khalid,23227,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
78,เหมือนในวันเก่า,KLEAR,23149,https://open.spotify.com/track/5YFjjpnRuzrewr7n5ynrSt
79,"พริบตา x STAMP","Bird Thongchai",23088,https://open.spotify.com/track/20Tl8mWZhryG75y3nqnlKE
80,"Start Again (feat. Logic)",OneRepublic,22823,https://open.spotify.com/track/1Nj2oBISdFDSF8eDuXcALz
81,Delicate,"Taylor Swift",22390,https://open.spotify.com/track/7CneiDesUKFJO3Ix01dnfr
82,ยินดีที่ได้พบ,"Gunn Junhavat",22287,https://open.spotify.com/track/2Scnnv3XSqW0QpF7ctmU3k
83,Anpanman,BTS,22142,https://open.spotify.com/track/4lRwa7PKcGIuJMwtPIYKdy
84,"Magic Shop",BTS,22131,https://open.spotify.com/track/22ryCgQttpV7oCrn7llGRu
85,ซ่อน,"Telex Telexs",21783,https://open.spotify.com/track/1Np7CVd74Ku6LtIR3w0m29
86,"New Rules","Dua Lipa",21770,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
87,"Paris in the Rain",Lauv,21702,https://open.spotify.com/track/41CgzGD7xlgnJe14R4cqkL
88,ควันเหงา,"Opor Praput",21645,https://open.spotify.com/track/6a35EmpHEmpvzlMPZqI5Kw
89,"I Like It","Cardi B",21622,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
90,"Playinwitme (feat. Kehlani)",KYLE,21366,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
91,Bloom,"Troye Sivan",21164,https://open.spotify.com/track/1hSOt9IeshMkuKP9ri4hOf
92,Audio,Sia,21122,https://open.spotify.com/track/7boPPE857KEqCIHNwFkDop
93,"Ghost Town","Kanye West",21023,https://open.spotify.com/track/6Bg7MznA9X0dIhlAsLyBYj
94,"First lady","Peck Palitchoke",20998,https://open.spotify.com/track/351T6pr9DCEYYoYEaPm8Ib
95,"I'll Be There","Jess Glynne",20773,https://open.spotify.com/track/083Qf6hn6sFL6xiOHlZUyn
96,"Nice For What",Drake,20583,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
97,โลกที่ไม่มีเธอ,PORTRAIT,20216,https://open.spotify.com/track/0fSl800MbFmlLs1aUxx7Z2
98,Perfect,"Ed Sheeran",20115,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
99,"FAKE LOVE (Rocking Vibe Mix)",BTS,19868,https://open.spotify.com/track/782ET7GKMVvNPBez4nsurW
100,ไวน์,"Max Jenmana",19846,https://open.spotify.com/track/00Hj710RrsLX5s9bothwlW
101,Flower,"Twopee Southside",19676,https://open.spotify.com/track/3Z1A584gUX1pxdlG3Oo8WT
102,"Jackie Chan",Tiësto,19666,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
103,"God's Plan",Drake,19655,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
104,LATATA,(G)I-DLE,19453,https://open.spotify.com/track/2ezKXygNO30pXyDQXkm6oD
105,หน้าหนาวที่แล้ว,"The Toys",19310,https://open.spotify.com/track/5mVeBv0bUZPJU7kPZcm594
106,"Freaky Friday (feat. Chris Brown)","Lil Dicky",19245,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
107,"Bad Boy","Red Velvet",19182,https://open.spotify.com/track/5GKwq4sO5ZHKuWaDmdwMQc
108,"As If It's Your Last",BLACKPINK,19135,https://open.spotify.com/track/1Zyd6zQnC6XIIzmg3hP7Ot
109,"Love Maze",BTS,18966,https://open.spotify.com/track/645YBsxhFPSOKxGep3uHLv
110,"What is Love?",TWICE,18784,https://open.spotify.com/track/2PhG74FocRobLC8pP9cIBI
111,"Shape of You","Ed Sheeran",18711,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
112,"BBoom BBoom",MOMOLAND,18489,https://open.spotify.com/track/3BPoSr2pO34Aan6alFfVto
113,ทรมานตัวเอง,"Bell Supol",18486,https://open.spotify.com/track/5lRwWrPogCyocSL7SYogg8
114,"Too Good At Goodbyes","Sam Smith",18444,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
115,"Have It All","Jason Mraz",18278,https://open.spotify.com/track/1pIMxRddmCGalHnRbLFkWg
116,"จังหวะจะรัก - From “Heartbeat” Original Soundtrack","Violette Wautier",18278,https://open.spotify.com/track/1ux0god9zERqovPLrzRdBT
117,เป็นทุกอย่าง,"Room 39",17935,https://open.spotify.com/track/09zqmrjQokoAfQJ1WeLkFK
118,"PICK ME","PRODUCE 48",17828,https://open.spotify.com/track/1LShDXXs40R8bQFNBBupI3
119,"Bye Bye",P-Hot,17782,https://open.spotify.com/track/08oX4H0Td1Fza9eBXzmojN
120,"I Like Me Better",Lauv,17672,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
121,Enemies,Lauv,17609,https://open.spotify.com/track/3JJYIoJ5FyY9E0DGjr7SXF
122,"All Mine","Kanye West",17381,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
123,"ปล่อย (Miss)","Clockwork Motionless",17130,https://open.spotify.com/track/7ihijRsdyrrQQR2iwSdibF
124,"Call Out My Name","The Weeknd",17100,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
