,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,139364,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
2,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,134774,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
3,"บอกตัวเอง (feat. โป่ง หินเหล็กไฟ)","Room 39",110410,https://open.spotify.com/track/3WQe3r4R1lnJs75ty9UYDF
4,หมอกร้าย,Lipta,104655,https://open.spotify.com/track/0EYgFMIXhjcFgX6xe2NY9v
5,ภาพจำ,"Pop Pongkool",97221,https://open.spotify.com/track/4YRpjJaJpiI36HM36Dn5lS
6,วิชาตัวเบา,Bodyslam,94783,https://open.spotify.com/track/2j2NeZZJ0STZQy5Aw3oZLL
7,"God is a woman","Ariana Grande",92094,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
8,ถ้าเธอต้องเลือก,Illslick,86649,https://open.spotify.com/track/5Of65kRDivh4UHG3SG5Iad
9,"Girls Like You (feat. Cardi B)","Maroon 5",86376,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
10,"FOREVER YOUNG - KR Ver.",BLACKPINK,84128,https://open.spotify.com/track/57Enap29zKl7NGRdDJjkjA
11,นอนได้แล้ว,"Fukking Hero",82626,https://open.spotify.com/track/5JhLoyD2idGlKXwD9nmYuB
12,ขอโทษ,"Burin Boonvisut",77466,https://open.spotify.com/track/6sCQmOY5k4BcjONYyVccaz
13,คนที่ไม่ใช่,O-Pavee,77154,https://open.spotify.com/track/76rs0Apd4Ct5LwJm8pB6r1
14,"Good Morning Teacher","Atom Chanakan",75389,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
15,"Thru These Tears",LANY,74962,https://open.spotify.com/track/4gB61mP4tNChn4LgfquMhi
16,"Day 1 ◑",HONNE,72483,https://open.spotify.com/track/7AWZvcyaSBxRzaBJcHf9XL
17,กำลังจะ,Illslick,70129,https://open.spotify.com/track/18kwPdB3Bx8n9Mk4YsO6LT
