,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,ภาพจำ,"Pop Pongkool",98542,https://open.spotify.com/track/4YRpjJaJpiI36HM36Dn5lS
2,"no tears left to cry","Ariana Grande",87078,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
3,นอนได้แล้ว,"Fukking Hero",86791,https://open.spotify.com/track/5JhLoyD2idGlKXwD9nmYuB
4,"Good Morning Teacher","Atom Chanakan",76292,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
5,ถ้าฉันหายไป(Skyline),"Earth Patravee",73292,https://open.spotify.com/track/0goff2JabkZTEq1yKeyoM8
6,"Let Me",ZAYN,72785,https://open.spotify.com/track/7Fg342AJtNsIDdwCfX0paC
7,คนที่ไม่ใช่,O-Pavee,65300,https://open.spotify.com/track/76rs0Apd4Ct5LwJm8pB6r1
8,"อยู่ดีๆก็… (feat. Youngohm)",Wonderframe,63065,https://open.spotify.com/track/0b9JDLbAgCazIwPSWj6DNL
9,"Strawberries & Cigarettes","Troye Sivan",62239,https://open.spotify.com/track/2z7UKVsBdbA7HFPunDKDP4
10,04:00,"The Toys",58736,https://open.spotify.com/track/3h7TbK7x7yxJavEZydbOzX
11,"The Middle",Zedd,58139,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
12,FRIENDS,Marshmello,57135,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
13,รู้ดีว่าไม่ดี,Getsunova,55924,https://open.spotify.com/track/37LAaRNSnB6b1T2ckX6VSk
14,หมอกร้าย,Lipta,55808,https://open.spotify.com/track/0EYgFMIXhjcFgX6xe2NY9v
15,"คิดถึงจัง (มาหาหน่อย)","Oat Pramote",55081,https://open.spotify.com/track/63quSq4p0NagZdZI3ttb4f
16,"Psycho (feat. Ty Dolla $ign)","Post Malone",54885,https://open.spotify.com/track/7wrDRQgHlvDnimrRHfQZxt
17,มะงึกๆอุ๋งๆ,"Ornly You",54629,https://open.spotify.com/track/3Wz7m9QeE8EAfpg98uxhRk
18,"Call Out My Name","The Weeknd",53049,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
19,ผิดที่ฉัน,60Miles,50161,https://open.spotify.com/track/65SM4x81LohlqhSVFqITWd
20,"ของขวัญ - Cover Version","The Toys",49328,https://open.spotify.com/track/72bifeUJaxwOtGjGiVqAeB
21,"555 (ToT)",Wonderframe,49292,https://open.spotify.com/track/5LcwUVWyRxuOfSawnKlbBV
22,"Galaxy (feat. Kob The X Factor)","D Gerrard",47634,https://open.spotify.com/track/0yO5RrszdEpqXhDwyhP6nX
23,"พริบตา x STAMP","Bird Thongchai",47073,https://open.spotify.com/track/20Tl8mWZhryG75y3nqnlKE
24,Delicate,"Taylor Swift",46277,https://open.spotify.com/track/6NFyWDv5CjfwuzoCkw47Xf
25,พอจะรู้,meyou.,45862,https://open.spotify.com/track/4p4SOBQ0fxHYluEcba6Xrq
26,เกลียด,"The Yers",45833,https://open.spotify.com/track/6iXBlrBFuV6W3jExGuWy6f
27,ร้อยล้านวิว,Stamp,45359,https://open.spotify.com/track/2KKwNFzypGehPrAZCKc1HW
28,"Day 1 ◑",HONNE,44895,https://open.spotify.com/track/7AWZvcyaSBxRzaBJcHf9XL
29,ฝันฤดูร้อน,"The Toys",44518,https://open.spotify.com/track/03UCygRxVwn1CyFEA7fiTV
30,"One Kiss (with Dua Lipa)","Calvin Harris",43729,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
31,TOY,"The Toys",43493,https://open.spotify.com/track/2Es5K3EnKVXsGqU8PtZLEL
32,IDGAF,"Dua Lipa",42737,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
33,"All The Stars (with SZA)","Kendrick Lamar",40951,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
34,Havana,"Camila Cabello",40903,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
35,"Freaky Friday (feat. Chris Brown)","Lil Dicky",40823,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
36,อย่าบอก,"Atom Chanakan",39584,https://open.spotify.com/track/3CrDt4x72gWHaglwnM0CAH
37,"In My Blood","Shawn Mendes",39322,https://open.spotify.com/track/79jX8RM5CgPqDKdGEKNW9K
38,ที่เก่า,"Marc Tatchapon",37022,https://open.spotify.com/track/0xBShp4NOIh5ChC55Xj0zz
39,วันหนึ่งฉันเดินเข้าป่า,"Max Jenmana",36750,https://open.spotify.com/track/46upHQ13xvw1y7ykEJpWU5
40,"Love Lies (with Normani)",Khalid,36476,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
41,Mine,Bazzi,34837,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
42,ฝืนตัวเองไม่เป็น,"Non Tanon",34381,https://open.spotify.com/track/0FlZM6SFefxfXzX68IpVxb
43,ไม่เหมือนใคร,"D Gerrard",32929,https://open.spotify.com/track/39Mg8slCqS2tyaZUZ1cQ1M
44,คิดถึงเสมอ,Lipta,32404,https://open.spotify.com/track/7dfs4SVfLPVORzjmYYqorK
45,"Paris in the Rain",Lauv,32387,https://open.spotify.com/track/0RGUIOZtmOXTWOy5EjvQbP
46,"Without You (feat. Sandro Cavazza)",Avicii,31165,https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE
47,พอ,"Atom Chanakan",31130,https://open.spotify.com/track/72KOmS4Af9IEFsT87TK1VQ
48,"Wake Me Up - Radio Edit",Avicii,30968,https://open.spotify.com/track/6g1NlCpW7fgqDnWbCCDrHl
49,ออเจ้าเอย,"Pete Pol",30825,https://open.spotify.com/track/0vDO51gqh14Pq5gDdHBoKO
50,"Capital Letters","Hailee Steinfeld",30339,https://open.spotify.com/track/3towKHKVOXCCcL1fHv6xFO
51,ควันเหงา,"Opor Praput",30042,https://open.spotify.com/track/6a35EmpHEmpvzlMPZqI5Kw
52,"Nice For What",Drake,29381,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
53,"ปลายทางคือคุณ (Sound of Places)","Violette Wautier",28140,https://open.spotify.com/track/4HtRmWBXEwvTkdFbUc3no5
54,"What is Love?",TWICE,28085,https://open.spotify.com/track/2PhG74FocRobLC8pP9cIBI
