,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,ภาพจำ,"Pop Pongkool",96052,https://open.spotify.com/track/4YRpjJaJpiI36HM36Dn5lS
2,ถ้าฉันหายไป(Skyline),"Earth Patravee",77167,https://open.spotify.com/track/0goff2JabkZTEq1yKeyoM8
3,"All The Stars (with SZA)","Kendrick Lamar",72215,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
4,04:00,"The Toys",69845,https://open.spotify.com/track/3h7TbK7x7yxJavEZydbOzX
5,"Good Morning Teacher","Atom Chanakan",68647,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
6,วันหนึ่งฉันเดินเข้าป่า,"Max Jenmana",62122,https://open.spotify.com/track/46upHQ13xvw1y7ykEJpWU5
7,"The Middle",Zedd,61411,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
8,"Psycho (feat. Ty Dolla $ign)","Post Malone",60689,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
9,"อยู่ดีๆก็… (feat. Youngohm)",Wonderframe,60281,https://open.spotify.com/track/0b9JDLbAgCazIwPSWj6DNL
10,FRIENDS,Marshmello,59391,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
11,"555 (ToT)",Wonderframe,59114,https://open.spotify.com/track/5LcwUVWyRxuOfSawnKlbBV
12,รู้ดีว่าไม่ดี,Getsunova,58334,https://open.spotify.com/track/37LAaRNSnB6b1T2ckX6VSk
13,IDGAF,"Dua Lipa",56794,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
14,ออเจ้าเอย,"Pete Pol",54549,https://open.spotify.com/track/0vDO51gqh14Pq5gDdHBoKO
15,"พริบตา x STAMP","Bird Thongchai",51142,https://open.spotify.com/track/20Tl8mWZhryG75y3nqnlKE
16,"Koisuru Fortune Cookie คุกกี้เสี่ยงทาย",BNK48,51020,https://open.spotify.com/track/5OzKApzqDkOVg4P5jQlD8J
17,TOY,"The Toys",50632,https://open.spotify.com/track/2Es5K3EnKVXsGqU8PtZLEL
18,"Pray For Me (with Kendrick Lamar)","The Weeknd",49008,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
19,เกลียด,"The Yers",48499,https://open.spotify.com/track/6iXBlrBFuV6W3jExGuWy6f
20,พอจะรู้,meyou.,46346,https://open.spotify.com/track/4p4SOBQ0fxHYluEcba6Xrq
21,อย่าบอก,"Atom Chanakan",45524,https://open.spotify.com/track/3CrDt4x72gWHaglwnM0CAH
22,Havana,"Camila Cabello",45430,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
23,"Never Be the Same","Camila Cabello",45242,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
24,"Galaxy (feat. Kob The X Factor)","D Gerrard",43903,https://open.spotify.com/track/0yO5RrszdEpqXhDwyhP6nX
25,Wolves,"Selena Gomez",42036,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
26,"Capital Letters","Hailee Steinfeld",41369,https://open.spotify.com/track/3towKHKVOXCCcL1fHv6xFO
27,ที่เก่า,"Marc Tatchapon",41062,https://open.spotify.com/track/0xBShp4NOIh5ChC55Xj0zz
28,"God's Plan",Drake,40802,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
29,"Done For Me (feat. Kehlani)","Charlie Puth",40291,https://open.spotify.com/track/76S09sHj7GGMJAtOLjmVQ2
30,"Paris in the Rain",Lauv,40015,https://open.spotify.com/track/0RGUIOZtmOXTWOy5EjvQbP
31,อย่าร้องไห้,"Singto Numchok",37722,https://open.spotify.com/track/0S741gpnPQORvndXqMkGNX
32,Mine,Bazzi,37473,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
33,ผู้ช่วยที่ดีที่สุด,Polycat,37329,https://open.spotify.com/track/6dZzTJXuTR2WWtGOvHutOU
34,"Love Lies (with Normani)",Khalid,36496,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
35,Perfect,"Ed Sheeran",36453,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
