,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,ภาพจำ,"Pop Pongkool",95874,https://open.spotify.com/track/4YRpjJaJpiI36HM36Dn5lS
2,นอนได้แล้ว,"Fukking Hero",83056,https://open.spotify.com/track/5JhLoyD2idGlKXwD9nmYuB
3,"Good Morning Teacher","Atom Chanakan",77642,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
4,ถ้าฉันหายไป(Skyline),"Earth Patravee",67990,https://open.spotify.com/track/0goff2JabkZTEq1yKeyoM8
5,หมอกร้าย,Lipta,67136,https://open.spotify.com/track/0EYgFMIXhjcFgX6xe2NY9v
6,"no tears left to cry","Ariana Grande",66795,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
7,คนที่ไม่ใช่,O-Pavee,64915,https://open.spotify.com/track/76rs0Apd4Ct5LwJm8pB6r1
8,"Better Now","Post Malone",61260,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
9,"Let Me",ZAYN,59547,https://open.spotify.com/track/7Fg342AJtNsIDdwCfX0paC
10,"Day 1 ◑",HONNE,59424,https://open.spotify.com/track/7AWZvcyaSBxRzaBJcHf9XL
11,"The Middle",Zedd,59178,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
12,"Youth (feat. Khalid)","Shawn Mendes",56052,https://open.spotify.com/track/3Wf2YGdYT8xVdNsQSoRKk9
13,ร้อยล้านวิว,Stamp,55998,https://open.spotify.com/track/2KKwNFzypGehPrAZCKc1HW
14,"อยู่ดีๆก็… (feat. Youngohm)",Wonderframe,55920,https://open.spotify.com/track/0b9JDLbAgCazIwPSWj6DNL
15,"Strawberries & Cigarettes","Troye Sivan",55551,https://open.spotify.com/track/2z7UKVsBdbA7HFPunDKDP4
16,"คิดถึงจัง (มาหาหน่อย)","Oat Pramote",54592,https://open.spotify.com/track/63quSq4p0NagZdZI3ttb4f
17,FRIENDS,Marshmello,54498,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
18,04:00,"The Toys",54278,https://open.spotify.com/track/3h7TbK7x7yxJavEZydbOzX
19,"This Is America","Childish Gambino",54015,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
20,ผิดที่ฉัน,60Miles,52410,https://open.spotify.com/track/65SM4x81LohlqhSVFqITWd
21,Patient,"Charlie Puth",51955,https://open.spotify.com/track/2ZrHbO88rM6Ijeg0aJmSzl
22,2002,Anne-Marie,51805,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
23,Bloom,"Troye Sivan",51611,https://open.spotify.com/track/1hSOt9IeshMkuKP9ri4hOf
24,รู้ดีว่าไม่ดี,Getsunova,50169,https://open.spotify.com/track/37LAaRNSnB6b1T2ckX6VSk
25,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",49930,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
26,"One Kiss (with Dua Lipa)","Calvin Harris",49700,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
27,"Psycho (feat. Ty Dolla $ign)","Post Malone",48397,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
28,พอจะรู้,meyou.,47571,https://open.spotify.com/track/4p4SOBQ0fxHYluEcba6Xrq
29,"Done For Me (feat. Kehlani)","Charlie Puth",46110,https://open.spotify.com/track/1lsBTdE6MGsKeZCD6llNu7
30,"ของขวัญ - Cover Version","The Toys",45147,https://open.spotify.com/track/72bifeUJaxwOtGjGiVqAeB
31,"Galaxy (feat. Kob The X Factor)","D Gerrard",44607,https://open.spotify.com/track/0yO5RrszdEpqXhDwyhP6nX
32,"รักน้องคนเดียวววว - เพลงประกอบภาพยนตร์ น้อง.พี่.ที่รัก",UrboyTJ,44159,https://open.spotify.com/track/1vYMSUrfHxmF4r5zPtdqEe
33,Somebody,"The Chainsmokers",43850,https://open.spotify.com/track/3pWcj8hxj3fsb9TDAcMpEl
34,ใครคือเรา,Bodyslam,43260,https://open.spotify.com/track/1kkkixB3Ids34krb3rqBID
35,"All The Stars (with SZA)","Kendrick Lamar",41764,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
36,เกลียด,"The Yers",41092,https://open.spotify.com/track/6iXBlrBFuV6W3jExGuWy6f
37,IDGAF,"Dua Lipa",39596,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
38,"In My Blood","Shawn Mendes",39441,https://open.spotify.com/track/79jX8RM5CgPqDKdGEKNW9K
39,Delicate,"Taylor Swift",37822,https://open.spotify.com/track/6NFyWDv5CjfwuzoCkw47Xf
