,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,ภาพจำ,"Pop Pongkool",97792,https://open.spotify.com/track/4YRpjJaJpiI36HM36Dn5lS
2,นอนได้แล้ว,"Fukking Hero",83511,https://open.spotify.com/track/5JhLoyD2idGlKXwD9nmYuB
3,"Good Morning Teacher","Atom Chanakan",82053,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
4,"no tears left to cry","Ariana Grande",70814,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
5,ถ้าฉันหายไป(Skyline),"Earth Patravee",69181,https://open.spotify.com/track/0goff2JabkZTEq1yKeyoM8
6,"Better Now","Post Malone",66013,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
7,คนที่ไม่ใช่,O-Pavee,65530,https://open.spotify.com/track/76rs0Apd4Ct5LwJm8pB6r1
8,หมอกร้าย,Lipta,63365,https://open.spotify.com/track/0EYgFMIXhjcFgX6xe2NY9v
9,"Strawberries & Cigarettes","Troye Sivan",62906,https://open.spotify.com/track/2z7UKVsBdbA7HFPunDKDP4
10,"Let Me",ZAYN,62501,https://open.spotify.com/track/7Fg342AJtNsIDdwCfX0paC
11,"The Middle",Zedd,57250,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
12,"Psycho (feat. Ty Dolla $ign)","Post Malone",56585,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
13,FRIENDS,Marshmello,56325,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
14,"อยู่ดีๆก็… (feat. Youngohm)",Wonderframe,55860,https://open.spotify.com/track/0b9JDLbAgCazIwPSWj6DNL
15,04:00,"The Toys",55731,https://open.spotify.com/track/3h7TbK7x7yxJavEZydbOzX
16,ร้อยล้านวิว,Stamp,54974,https://open.spotify.com/track/2KKwNFzypGehPrAZCKc1HW
17,"คิดถึงจัง (มาหาหน่อย)","Oat Pramote",54356,https://open.spotify.com/track/63quSq4p0NagZdZI3ttb4f
18,"One Kiss (with Dua Lipa)","Calvin Harris",51698,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
19,รู้ดีว่าไม่ดี,Getsunova,51687,https://open.spotify.com/track/37LAaRNSnB6b1T2ckX6VSk
20,ผิดที่ฉัน,60Miles,51564,https://open.spotify.com/track/65SM4x81LohlqhSVFqITWd
21,"Day 1 ◑",HONNE,50807,https://open.spotify.com/track/7AWZvcyaSBxRzaBJcHf9XL
22,พอจะรู้,meyou.,47637,https://open.spotify.com/track/4p4SOBQ0fxHYluEcba6Xrq
23,"ของขวัญ - Cover Version","The Toys",47502,https://open.spotify.com/track/72bifeUJaxwOtGjGiVqAeB
24,"Galaxy (feat. Kob The X Factor)","D Gerrard",46733,https://open.spotify.com/track/0yO5RrszdEpqXhDwyhP6nX
25,Bloom,"Troye Sivan",45916,https://open.spotify.com/track/1hSOt9IeshMkuKP9ri4hOf
26,"Youth (feat. Khalid)","Shawn Mendes",44392,https://open.spotify.com/track/3Wf2YGdYT8xVdNsQSoRKk9
27,"พริบตา x STAMP","Bird Thongchai",43783,https://open.spotify.com/track/20Tl8mWZhryG75y3nqnlKE
28,IDGAF,"Dua Lipa",43506,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
29,"Done For Me (feat. Kehlani)","Charlie Puth",42717,https://open.spotify.com/track/76S09sHj7GGMJAtOLjmVQ2
30,เกลียด,"The Yers",42030,https://open.spotify.com/track/6iXBlrBFuV6W3jExGuWy6f
31,"Freaky Friday (feat. Chris Brown)","Lil Dicky",41510,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
32,เห็นฉันไหม,B5,41509,https://open.spotify.com/track/29gzHYQ0fDI4Nobkaye6Ik
33,Delicate,"Taylor Swift",41311,https://open.spotify.com/track/6NFyWDv5CjfwuzoCkw47Xf
34,อย่าบอก,"Atom Chanakan",40596,https://open.spotify.com/track/3CrDt4x72gWHaglwnM0CAH
35,"In My Blood","Shawn Mendes",40393,https://open.spotify.com/track/79jX8RM5CgPqDKdGEKNW9K
36,Somebody,"The Chainsmokers",40000,https://open.spotify.com/track/3pWcj8hxj3fsb9TDAcMpEl
37,"รักน้องคนเดียวววว - เพลงประกอบภาพยนตร์ น้อง.พี่.ที่รัก",UrboyTJ,39815,https://open.spotify.com/track/1vYMSUrfHxmF4r5zPtdqEe
38,"555 (ToT)",Wonderframe,39670,https://open.spotify.com/track/5LcwUVWyRxuOfSawnKlbBV
