,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Koisuru Fortune Cookie คุกกี้เสี่ยงทาย",BNK48,115275,https://open.spotify.com/track/5OzKApzqDkOVg4P5jQlD8J
2,Havana,"Camila Cabello",74230,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
3,วันหนึ่งฉันเดินเข้าป่า,"Max Jenmana",64159,https://open.spotify.com/track/46upHQ13xvw1y7ykEJpWU5
4,"อยู่ดีๆก็… (feat. Youngohm)",Wonderframe,61932,https://open.spotify.com/track/0b9JDLbAgCazIwPSWj6DNL
5,"Never Be the Same","Camila Cabello",61601,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
6,Wolves,"Selena Gomez",57026,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
7,IDGAF,"Dua Lipa",55797,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
8,"พริบตา x STAMP","Bird Thongchai",52942,https://open.spotify.com/track/4teedU9O1HNw0jMR1VzNev
9,Perfect,"Ed Sheeran",51913,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
10,อย่าบอก,"Atom Chanakan",51058,https://open.spotify.com/track/3CrDt4x72gWHaglwnM0CAH
11,"What Lovers Do (feat. SZA)","Maroon 5",49076,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
12,ถอย,Gliss,46295,https://open.spotify.com/track/3nJlzw6Gn33fitnoxJtLSj
13,"นี่แหละความรัก (This is Love)","Peck Palitchoke",44575,https://open.spotify.com/track/13jEKU2J3JJPe3tpo8p4vY
14,"Finesse (Remix) [feat. Cardi B]","Bruno Mars",43990,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
15,"Too Good At Goodbyes","Sam Smith",43385,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
16,"How Long","Charlie Puth",42332,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
17,"Paris in the Rain",Lauv,41492,https://open.spotify.com/track/0RGUIOZtmOXTWOy5EjvQbP
18,"Good Morning Teacher","Atom Chanakan",41368,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
19,"New Rules","Dua Lipa",41157,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
20,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",41138,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
21,"My My My!","Troye Sivan",41091,https://open.spotify.com/track/2Tq2R8sRftNEqdgJK5HadO
22,"Him & I (with Halsey)",G-Eazy,40688,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
23,"River (feat. Ed Sheeran)",Eminem,40117,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
24,"Shape of You","Ed Sheeran",37863,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
25,Thunder,"Imagine Dragons",37792,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
26,"Sick Boy","The Chainsmokers",36605,https://open.spotify.com/track/7jqDzXJS0K0Re8uphYNit0
27,รักตัวเอง,"Room 39",36091,https://open.spotify.com/track/46Uqy57KyAT7xBz6BIqdB3
28,"จังหวะจะรัก - From “Heartbeat” Original Soundtrack","Violette Wautier",35871,https://open.spotify.com/track/1ux0god9zERqovPLrzRdBT
29,"All The Stars (with SZA)","Kendrick Lamar",34558,https://open.spotify.com/track/12SJpYZEdj4kzWZ8FPFg4Y
30,"All Falls Down (feat. Juliander)","Alan Walker",34290,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
31,"Young Dumb & Broke",Khalid,32099,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
