,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,ภาพจำ,"Pop Pongkool",89781,https://open.spotify.com/track/4YRpjJaJpiI36HM36Dn5lS
2,"no tears left to cry","Ariana Grande",80595,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
3,นอนได้แล้ว,"Fukking Hero",75876,https://open.spotify.com/track/5JhLoyD2idGlKXwD9nmYuB
4,"Good Morning Teacher","Atom Chanakan",70387,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
5,ถ้าฉันหายไป(Skyline),"Earth Patravee",65893,https://open.spotify.com/track/0goff2JabkZTEq1yKeyoM8
6,"Let Me",ZAYN,63208,https://open.spotify.com/track/7Fg342AJtNsIDdwCfX0paC
7,"Psycho (feat. Ty Dolla $ign)","Post Malone",62968,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
8,"Strawberries & Cigarettes","Troye Sivan",61959,https://open.spotify.com/track/2z7UKVsBdbA7HFPunDKDP4
9,คนที่ไม่ใช่,O-Pavee,60415,https://open.spotify.com/track/76rs0Apd4Ct5LwJm8pB6r1
10,"The Middle",Zedd,56857,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
11,หมอกร้าย,Lipta,56578,https://open.spotify.com/track/0EYgFMIXhjcFgX6xe2NY9v
12,"อยู่ดีๆก็… (feat. Youngohm)",Wonderframe,56571,https://open.spotify.com/track/0b9JDLbAgCazIwPSWj6DNL
13,FRIENDS,Marshmello,56507,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
14,04:00,"The Toys",53042,https://open.spotify.com/track/3h7TbK7x7yxJavEZydbOzX
15,"Day 1 ◑",HONNE,52113,https://open.spotify.com/track/7AWZvcyaSBxRzaBJcHf9XL
16,ร้อยล้านวิว,Stamp,51461,https://open.spotify.com/track/2KKwNFzypGehPrAZCKc1HW
17,"คิดถึงจัง (มาหาหน่อย)","Oat Pramote",50713,https://open.spotify.com/track/63quSq4p0NagZdZI3ttb4f
