,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,132150,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
2,"บอกตัวเอง (feat. โป่ง หินเหล็กไฟ)","Room 39",111934,https://open.spotify.com/track/3WQe3r4R1lnJs75ty9UYDF
3,หมอกร้าย,Lipta,103613,https://open.spotify.com/track/0EYgFMIXhjcFgX6xe2NY9v
4,"Girls Like You (feat. Cardi B)","Maroon 5",99123,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
5,ภาพจำ,"Pop Pongkool",98106,https://open.spotify.com/track/4YRpjJaJpiI36HM36Dn5lS
6,"In My Feelings",Drake,97388,https://open.spotify.com/track/0bAkKNCQfWkexHFn7fIKns
7,"God is a woman","Ariana Grande",93603,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
8,"FOREVER YOUNG - KR Ver.",BLACKPINK,92022,https://open.spotify.com/track/57Enap29zKl7NGRdDJjkjA
9,ถ้าเธอต้องเลือก,Illslick,85601,https://open.spotify.com/track/5Of65kRDivh4UHG3SG5Iad
10,นอนได้แล้ว,"Fukking Hero",82657,https://open.spotify.com/track/5JhLoyD2idGlKXwD9nmYuB
11,"Good Morning Teacher","Atom Chanakan",76161,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
12,ขอโทษ,"Burin Boonvisut",76047,https://open.spotify.com/track/6sCQmOY5k4BcjONYyVccaz
13,คนที่ไม่ใช่,O-Pavee,75000,https://open.spotify.com/track/76rs0Apd4Ct5LwJm8pB6r1
14,"Ocean (feat. Khalid)","Martin Garrix",72660,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
15,"Don’t Matter To Me",Drake,72393,https://open.spotify.com/track/36ONiya0OANYknz0GgJmwB
16,กำลังจะ,Illslick,69337,https://open.spotify.com/track/18kwPdB3Bx8n9Mk4YsO6LT
17,ถ้าฉันหายไป(Skyline),"Earth Patravee",67152,https://open.spotify.com/track/0goff2JabkZTEq1yKeyoM8
18,2002,Anne-Marie,65235,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
19,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",65074,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
20,"Good Luck feat. Maiyarap",Lipta,63099,https://open.spotify.com/track/3tMbwbZpYXGHeg0l45m7Tv
21,"Day 1 ◑",HONNE,61624,https://open.spotify.com/track/7AWZvcyaSBxRzaBJcHf9XL
22,"Galaxy (feat. Kob The X Factor)","D Gerrard",59490,https://open.spotify.com/track/0yO5RrszdEpqXhDwyhP6nX
23,พอจะรู้,meyou.,59179,https://open.spotify.com/track/4p4SOBQ0fxHYluEcba6Xrq
24,แอบบอกรัก,Jaonaay,58190,https://open.spotify.com/track/1xJP5BQBwQRl59B6EGcujF
25,"Bed (feat. Ariana Grande)","Nicki Minaj",56547,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
26,"REALLY - KR Ver.",BLACKPINK,56307,https://open.spotify.com/track/7AWtaOSb7cgi16wJr3mkuf
27,Rise,"Jonas Blue",56016,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
28,"คิดถึงจัง (มาหาหน่อย)","Oat Pramote",55451,https://open.spotify.com/track/63quSq4p0NagZdZI3ttb4f
29,ไม่ตอบ,UrboyTJ,54648,https://open.spotify.com/track/2MezCXpLYYWcShseflM6NB
30,ฟัง,SIN,54541,https://open.spotify.com/track/6RjwqDSAllo8d9EfDEK5IV
31,ไม่มีเธอไม่ตาย,"Gam Wichayanee",51730,https://open.spotify.com/track/6mUclBcqOp65gflMeu2UWR
32,"Bye Bye",P-Hot,51538,https://open.spotify.com/track/08oX4H0Td1Fza9eBXzmojN
33,เงาของเมื่อวาน,Cocktail,50752,https://open.spotify.com/track/58xnXpPVENyQQtgvKh16Fs
34,"Born To Be Yours",Kygo,50596,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
35,"Solo (feat. Demi Lovato)","Clean Bandit",50187,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
36,"LOVE SCENARIO",iKON,48737,https://open.spotify.com/track/6qAzAmPBUpGrk7XADZHR5k
37,"Summertime Magic","Childish Gambino",47912,https://open.spotify.com/track/4j3GWI86JvSaF0BLdmgcfF
38,"SEE U LATER - KR Ver.",BLACKPINK,47595,https://open.spotify.com/track/514mQDPkXmPzsYwGNmkBJZ
39,04:00,"The Toys",46728,https://open.spotify.com/track/3h7TbK7x7yxJavEZydbOzX
40,"Better Now","Post Malone",46406,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
41,"FAKE LOVE",BTS,46081,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
42,ฝันหวานอายจูบ,Stamp,44957,https://open.spotify.com/track/10DSYghyBjAYJa8iCvdRDv
43,ผิดที่ฉัน,60Miles,44797,https://open.spotify.com/track/65SM4x81LohlqhSVFqITWd
44,"Taste (feat. Offset)",Tyga,44182,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
45,จูบ,Illslick,42830,https://open.spotify.com/track/6RvSPE7NJCkzSrc7rn5OOC
46,"อยู่ดีๆก็… (feat. Youngohm)",Wonderframe,42597,https://open.spotify.com/track/0b9JDLbAgCazIwPSWj6DNL
47,มีแฟน'ยัง,"LOTTE Thakorn",42050,https://open.spotify.com/track/63ZR6CaIe8mYwgg8vEWxTQ
48,Connection,OneRepublic,41250,https://open.spotify.com/track/3T4UodGkfZObJ43RtA5KFU
49,เกลียด,"The Yers",40735,https://open.spotify.com/track/6iXBlrBFuV6W3jExGuWy6f
50,ร้อยล้านวิว,Stamp,40523,https://open.spotify.com/track/2KKwNFzypGehPrAZCKc1HW
51,"As If It's Your Last",BLACKPINK,40319,https://open.spotify.com/track/1Zyd6zQnC6XIIzmg3hP7Ot
52,"Dance The Night Away",TWICE,38296,https://open.spotify.com/track/281tmNk46TBQS9ACYMLYyA
53,"Lucid Dreams","Juice WRLD",37838,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
