,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"All The Stars (with SZA)","Kendrick Lamar",84426,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
2,04:00,"The Toys",69962,https://open.spotify.com/track/3h7TbK7x7yxJavEZydbOzX
3,วันหนึ่งฉันเดินเข้าป่า,"Max Jenmana",64467,https://open.spotify.com/track/46upHQ13xvw1y7ykEJpWU5
4,"Psycho (feat. Ty Dolla $ign)","Post Malone",64463,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
5,ถ้าฉันหายไป(Skyline),"Earth Patravee",63402,https://open.spotify.com/track/0goff2JabkZTEq1yKeyoM8
6,"Good Morning Teacher","Atom Chanakan",61992,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
7,"Koisuru Fortune Cookie คุกกี้เสี่ยงทาย",BNK48,61832,https://open.spotify.com/track/5OzKApzqDkOVg4P5jQlD8J
8,"Pray For Me (with Kendrick Lamar)","The Weeknd",60526,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
9,"อยู่ดีๆก็… (feat. Youngohm)",Wonderframe,59833,https://open.spotify.com/track/0b9JDLbAgCazIwPSWj6DNL
10,"The Middle",Zedd,57749,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
11,IDGAF,"Dua Lipa",56863,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
12,TOY,"The Toys",56374,https://open.spotify.com/track/2Es5K3EnKVXsGqU8PtZLEL
13,FRIENDS,Marshmello,56049,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
14,รู้ดีว่าไม่ดี,Getsunova,54911,https://open.spotify.com/track/37LAaRNSnB6b1T2ckX6VSk
15,"พริบตา x STAMP","Bird Thongchai",54006,https://open.spotify.com/track/20Tl8mWZhryG75y3nqnlKE
16,อย่าบอก,"Atom Chanakan",52003,https://open.spotify.com/track/3CrDt4x72gWHaglwnM0CAH
17,เกลียด,"The Yers",50821,https://open.spotify.com/track/6iXBlrBFuV6W3jExGuWy6f
18,"God's Plan",Drake,48461,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
19,Havana,"Camila Cabello",47903,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
20,"Capital Letters","Hailee Steinfeld",44736,https://open.spotify.com/track/3towKHKVOXCCcL1fHv6xFO
21,"Never Be the Same","Camila Cabello",44108,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
22,Wolves,"Selena Gomez",43528,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
23,"กว่าจักรวาล x Atom","Bird Thongchai",42969,https://open.spotify.com/track/2Akqcxo6AiquGYFcS5dmvT
24,พอจะรู้,meyou.,42541,https://open.spotify.com/track/4p4SOBQ0fxHYluEcba6Xrq
25,"Galaxy (feat. Kob The X Factor)","D Gerrard",41320,https://open.spotify.com/track/0yO5RrszdEpqXhDwyhP6nX
26,ผู้ช่วยที่ดีที่สุด,Polycat,40537,https://open.spotify.com/track/6dZzTJXuTR2WWtGOvHutOU
27,Mine,Bazzi,39547,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
28,"Paris in the Rain",Lauv,38573,https://open.spotify.com/track/0RGUIOZtmOXTWOy5EjvQbP
29,Perfect,"Ed Sheeran",37853,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
30,"Love Lies (with Normani)",Khalid,37477,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
31,"นี่แหละความรัก (This is Love)","Peck Palitchoke",37444,https://open.spotify.com/track/13jEKU2J3JJPe3tpo8p4vY
32,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",37204,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
33,"Too Good At Goodbyes","Sam Smith",35528,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
34,ถอย,Gliss,35008,https://open.spotify.com/track/3nJlzw6Gn33fitnoxJtLSj
35,"Bad Boy","Red Velvet",34391,https://open.spotify.com/track/5GKwq4sO5ZHKuWaDmdwMQc
36,"จังหวะจะรัก - From “Heartbeat” Original Soundtrack","Violette Wautier",33989,https://open.spotify.com/track/1ux0god9zERqovPLrzRdBT
37,พอ,"Atom Chanakan",33595,https://open.spotify.com/track/72KOmS4Af9IEFsT87TK1VQ
38,"New Rules","Dua Lipa",33594,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
39,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,32506,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
40,Thunder,"Imagine Dragons",31750,https://open.spotify.com/track/26gceVsA1ybT8qsX3aYLEn
41,ฝืนตัวเองไม่เป็น,"Non Tanon",31370,https://open.spotify.com/track/0FlZM6SFefxfXzX68IpVxb
42,"All Falls Down (feat. Juliander)","Alan Walker",30886,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
43,ที่เก่า,"Marc Tatchapon",30754,https://open.spotify.com/track/0xBShp4NOIh5ChC55Xj0zz
44,ถอนหายใจ,Mild,30563,https://open.spotify.com/track/1rve7sIFz7JVxwfrisKyP3
45,"Getting Over You",Lauv,30404,https://open.spotify.com/track/2BNkTvg1kHAAfGvqh56x5a
46,"For You (Fifty Shades Freed) (& Rita Ora)","Liam Payne",30194,https://open.spotify.com/track/5hM6sP0Gh1jD57drszNueC
47,"Finesse (Remix) [feat. Cardi B]","Bruno Mars",29167,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
48,"Sick Boy","The Chainsmokers",28419,https://open.spotify.com/track/2IKZkwHI5zsZf70STuhvOX
49,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",28226,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
50,"River (feat. Ed Sheeran)",Eminem,27435,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
51,หน้าหนาวที่แล้ว,"The Toys",27053,https://open.spotify.com/track/5mVeBv0bUZPJU7kPZcm594
52,"LOVE SCENARIO",iKON,26983,https://open.spotify.com/track/6qAzAmPBUpGrk7XADZHR5k
53,"How Long","Charlie Puth",24697,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
54,"ฝัง (ใน) ใจ",ETC.,24434,https://open.spotify.com/track/2sO402csNLrYEpiJXlZUCD
55,ไม่เหมือนใคร,"D Gerrard",23756,https://open.spotify.com/track/39Mg8slCqS2tyaZUZ1cQ1M
56,ทรมานตัวเอง,"Bell Supol",23677,https://open.spotify.com/track/5lRwWrPogCyocSL7SYogg8
57,"ยังรู้สึก (Old Feeling)","Ink Waruntorn",23673,https://open.spotify.com/track/0ggTgd1SJIk539ZdC3LM6T
58,โลกที่ไม่มีเธอ,PORTRAIT,23193,https://open.spotify.com/track/0fSl800MbFmlLs1aUxx7Z2
59,Heaven,"Julia Michaels",22964,https://open.spotify.com/track/4QfNOZN7vrQCQKK1ZJ3XPb
60,"Young Dumb & Broke",Khalid,22943,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
61,"Daydream (백일몽)",j-hope,22042,https://open.spotify.com/track/4YAgH8s0JFfwikTNwe0aIk
62,Attention,"Charlie Puth",22039,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
63,Naked,"James Arthur",22011,https://open.spotify.com/track/7krbSH3rd8lhIZvuzTV3Bl
64,เธอเปลี่ยนไป,"Boy Peacemaker",21671,https://open.spotify.com/track/3Z3dQbXUR16bSYGhYKxykb
