33,Unforgettable,French Montana,21477,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
34,จังหวะจะรัก - From “Heartbeat” Original Soundtrack,Violette Wautier,21444,https://open.spotify.com/track/1ux0god9zERqovPLrzRdBT
35,ก่อนฤดูฝน,The Toys,20297,https://open.spotify.com/track/1oyYuiIundjUzgi0oyBNyB
36,Your Song,Rita Ora,19679,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5
37,พัง..(ลำพัง),Getsunova,19201,https://open.spotify.com/track/0hTyySmaM27kaBNofAYOdr
38,XO TOUR Llif3,Lil Uzi Vert,19082,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
39,More Than You Know,Axwell /\ Ingrosso,19043,https://open.spotify.com/track/3PEgB3fkiojxms35ntsTgs
40,เผด็จเกิร์ล,Tattoo Colour,18851,https://open.spotify.com/track/6dnXdI7OhOJYvVjlT6pR03
41,มีแฟนแล้ว,Oat Pramote,18397,https://open.spotify.com/track/6IDsfMh7YJlE3R2mB1DYXH
42,Rich Love (with Seeb),OneRepublic,18358,https://open.spotify.com/track/7aF09WaavZAmAWuUeYxlYD
43,As If It's Your Last,BLACKPINK,18151,https://open.spotify.com/track/1Zyd6zQnC6XIIzmg3hP7Ot
44,Glorious (feat. Skylar Grey),Macklemore,18122,https://open.spotify.com/track/3HVr6jTVwBHBa2flM0eURR
45,Ko Ko Bop,EXO,17919,https://open.spotify.com/track/5EzitieoPnjyKHAq0gfRMa
46,ช่วงนี้(Karma),Atom Chanakan,17408,https://open.spotify.com/track/3LbX6aIcOxB1p0pOpYPLVu
47,Super Far,LANY,16803,https://open.spotify.com/track/74ODGXs4byLTRdnKGM4s6E
48,What About Us,P!nk,16514,https://open.spotify.com/track/31MkGwj0SWgZaTvEt5Hgxv
49,Galway Girl,Ed Sheeran,16105,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
50,Believer,Imagine Dragons,15537,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
51,HUMBLE.,Kendrick Lamar,14809,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
